case_name,segment,phase,when_utc,dt_h,distance_nm,node_from_lat,node_from_lon,node_to_lat,node_to_lon,heading_deg,encounter_angle_deg,speed_sog_kts,speed_stw_kts,speed_stw_power_kts,current_component_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,PD_kW,BHP_kW,total_resistance_N,R_calm_N,R_wind_N,R_wave_N,relative_wind_speed_ms,relative_wind_dir_deg,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh,milp_ESS_N1_reserve_MW,milp_N1_largest_output_MW,milp_N1_min_margin_MW
case2_ga_twostage,0,departure,2025-03-25T06:00:00+00:00,0.5,8.921539469782804,31.0,122.0,31.103565717250078,122.12437712322239,45.78274949721322,307.9580976456758,17.843078939565608,17.7111889753355,17.7111889753355,0.13188996423010696,7.470274097630386,173.48364000395765,0.06796815442788413,49.1616191030969,0.6213138699531555,3.343048095703125,165.59393428700443,11.885555211027285,2.5,14.385555211027285,11647.844106806739,11885.555211027284,912809.175697257,922065.7671478615,-11922.400082041087,2665.8086314365673,7.4963595957117555,52.041902354324186,1317.3909080069348,14.385555211,0.0,0.0,0.7,7.5600000000000005,1,1,1366.3603044,0.0,0,0,0.0,1.8,1,1,359.9708625,5.0255552109999995,1,1,908.4506491138698,5.0,7.5600000000000005,5.014444789000001
case2_ga_twostage,1,cruising,2025-03-25T06:30:00+00:00,0.5,9.00147796857355,31.103565717250078,122.12437712322239,31.2081259867782,122.24993060190057,45.74685194568917,305.73336474931864,18.0029559371471,17.846116598214874,17.846116598214874,0.15683933893222554,7.88580358299163,172.44472912556802,0.08444761759088536,28.57917543947309,0.6213138699531555,3.343048095703125,165.59393428700443,12.156799845366816,3.5,15.656799845366816,11913.663848459479,12156.799845366815,926584.888362636,937611.377005396,-13713.244032584676,2686.755389824712,7.789183700205788,54.26663525068137,1425.4733837667552,15.656799845400002,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.0567998453999996,1,0,573.6795935335102,5.0,7.5600000000000005,3.7432001546
case2_ga_twostage,2,cruising,2025-03-25T07:00:00+00:00,0.5,8.957782043879574,31.2081259867782,122.24993060190057,31.312246044143247,122.3749357955803,45.71079195312396,302.8172165319443,17.915564087759147,17.74153745865012,17.74153745865012,0.17402662910902444,8.305508640526584,171.73565808887676,0.09121046843791332,34.68540535906941,0.6213138699531555,3.343048095703125,165.59393428700443,11.892728357136589,3.5,15.392728357136589,11654.873789993855,11892.728357136588,912613.5286915376,925542.1643826994,-15600.627928888685,2671.9922377268235,7.992798672142558,57.182783468055696,1403.021764730805,15.392728357100001,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.792728357099999,1,0,528.77635546161,5.0,7.5600000000000005,4.007271642900001
case2_ga_twostage,3,cruising,2025-03-25T07:30:00+00:00,0.5,9.090982894503647,31.312246044143247,122.3749357955803,31.417986857891822,122.50185841425076,45.67187544972579,302.79052625349107,18.181965789007293,17.760441092994334,17.760441092994334,0.42152469601295767,8.419852822942426,171.92990661908647,0.2180147804745792,39.74874287809005,0.8508060574531555,4.032257080078125,163.79706138129842,11.983998541283519,3.5,15.483998541283519,11744.318570457848,11983.99854128352,917819.8909294314,927713.460279349,-15939.403182453367,6045.8338325357445,8.076366108899599,57.209473746508934,1410.7816460348836,15.4839985413,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.8839985412999996,1,0,544.2961180697673,5.0,7.5600000000000005,3.9160014587000003
case2_ga_twostage,4,cruising,2025-03-25T08:00:00+00:00,0.5,9.280357607741163,31.417986857891822,122.50185841425076,31.51240525853852,122.64533424450893,52.31145246942652,305.54237113503075,18.560715215482325,17.73319723589088,17.73319723589088,0.8275179795914434,8.532293984596919,172.35635391187844,0.4733815562131038,26.37755632631348,0.8508060574531555,4.032257080078125,163.79706138129842,11.873388561765752,3.5,15.373388561765752,11635.920790530437,11873.388561765752,911599.2176024835,924585.6364613872,-18720.759446766824,5734.34058786309,9.077013846988729,54.45762886496927,1401.3774762121766,15.373388561800002,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.7733885618,1,0,525.487778424353,5.0,7.5600000000000005,4.0266114382
case2_ga_twostage,5,cruising,2025-03-25T08:30:00+00:00,0.5,9.31626292654064,31.51240525853852,122.64533424450893,31.59900646503788,122.79642723975107,56.0347281575489,306.72085423179,18.63252585308128,17.56111053832964,17.56111053832964,1.071415314751639,8.589611613257953,172.75576568632562,0.5632315769678875,44.162396951731296,0.8508060574531555,4.032257080078125,163.79706138129842,11.473065016111047,3.5,14.973065016111047,11243.603715788826,11473.065016111046,890425.3996449523,905044.3816018491,-20144.096067607978,5525.114110711145,9.571727760424835,53.279145768209986,1367.3415725368566,14.973065016100001,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.373065016099999,1,0,457.4159710737132,5.0,7.5600000000000005,4.426934983900001
case2_ga_twostage,6,cruising,2025-03-25T09:00:00+00:00,0.5,9.456299503975156,31.59900646503788,122.79642723975107,31.689552077689402,122.94780312432361,54.867882585724175,307.2126205704508,18.912599007950313,17.79633391904446,17.79633391904446,1.1162650889058503,8.522269327274813,173.0514747272537,0.5856457975939406,66.18632960664631,0.9750736355781555,4.363800048828125,167.750184102552,12.037082871121804,3.5,15.537082871121804,11796.341213699367,12037.082871121804,920318.8780522748,931848.6653010389,-19288.8622512118,7759.075002447683,9.432306945338846,52.78737942954923,1415.294928241611,15.5370828711,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.9370828711000003,1,0,553.3226824832217,5.0,7.5600000000000005,3.8629171288999995
case2_ga_twostage,7,cruising,2025-03-25T09:30:00+00:00,0.5,9.342550352852145,31.689552077689402,122.94780312432361,31.776149277664295,123.09980744215585,56.144433862158245,307.6413617043865,18.68510070570429,17.832225084841685,17.832225084841685,0.8528756208626039,8.438503541671214,172.92637277239717,0.4744385446671153,78.50749393927954,0.9750736355781555,4.363800048828125,167.750184102552,12.11486475664228,3.5,15.61486475664228,11872.567461509434,12114.86475664228,924317.4971535888,936000.134604062,-19380.695823051003,7698.058372577884,9.513540849034994,52.35863829561348,1421.90802105366,15.6148647566,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.014864756599999,1,0,566.54886810732,5.0,7.5600000000000005,3.785135243400001
case2_ga_twostage,8,cruising,2025-03-25T10:00:00+00:00,0.5,9.223167422560833,31.776149277664295,123.09980744215585,31.861715597962913,123.24994939849711,56.11083920577792,308.29914093203803,18.446334845121665,18.06311619591197,18.06311619591197,0.3832186492096942,8.256499072782365,172.23302743112453,0.19722203097444888,57.717093655320795,0.8898685574531555,4.584014892578125,164.71111779590035,12.623895942571764,3.5,16.123895942571764,12371.418023720329,12623.895942571764,950297.4123648918,963106.208423097,-18741.064301551953,5932.268243346749,9.446090800181052,51.70085906796195,1465.1863557919653,16.1238959426,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.5238959426000003,1,0,653.1055375839305,5.0,7.5600000000000005,3.2761040573999995
case2_ga_twostage,9,cruising,2025-03-25T10:30:00+00:00,0.5,9.140092923520278,31.861715597962913,123.24994939849711,31.94659413742529,123.39881105068943,56.07349222790811,309.8119140116187,18.280185847040556,17.787337462555282,17.787337462555282,0.49284838448527346,7.971514453245038,171.24699187485675,0.2661389711399979,73.77168801673037,0.8898685574531555,4.584014892578125,164.71111779590038,12.011859718764901,3.5,15.511859718764901,11771.622524389602,12011.859718764901,918963.2205349106,930810.6432155338,-17695.116795747414,5847.69411512419,9.39192501816962,50.18808598838131,1413.150430893673,15.5118597188,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.9118597187999997,1,0,549.0336877873459,5.0,7.5600000000000005,3.8881402812
