case_name,t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
case2_ga_twostage,10,0.5,16.269238267441686,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.669238267399998,1,0,677.8198339073696,5.0,7.5600000000000005,3.1307617326000017
case2_ga_twostage,11,0.5,16.298130707708026,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.6981307077,1,0,682.7327615907825,5.0,7.5600000000000005,3.1018692923
case2_ga_twostage,12,0.5,16.744481190820636,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,4.144481190799998,1,0,758.6310803951865,5.0,7.5600000000000005,2.655518809200002
case2_ga_twostage,13,0.5,16.026116705963965,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.4261167059999993,1,0,636.478962834026,5.0,7.5600000000000005,3.3738832940000005
case2_ga_twostage,14,0.5,15.787737248131993,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.1877372481000004,1,0,595.9444484173322,5.0,7.5600000000000005,3.6122627518999995
case2_ga_twostage,15,0.5,16.063304488116657,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.4633044881000012,1,0,642.8024468411494,5.0,7.5600000000000005,3.3366955118999986
case2_ga_twostage,16,0.5,16.15257244026806,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.552572440299998,1,0,657.9817459606123,5.0,7.5600000000000005,3.247427559700002
case2_ga_twostage,17,0.5,15.879391268824385,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.2793912687999986,1,0,611.5294793429858,5.0,7.5600000000000005,3.520608731200001
case2_ga_twostage,18,0.5,16.082454152231207,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.4824541522,1,0,646.0586935931741,5.0,7.5600000000000005,3.3175458478
case2_ga_twostage,19,0.5,16.077968812612383,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.4779688126000012,1,0,645.2959975778311,5.0,7.5600000000000005,3.3220311873999986
case2_ga_twostage,20,0.5,16.116622231291256,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.5166222312999986,1,0,651.8687013307142,5.0,7.5600000000000005,3.283377768700001
case2_ga_twostage,21,0.5,16.239247310026677,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.639247309999999,1,0,672.7201122039555,5.0,7.5600000000000005,3.1607526900000007
case2_ga_twostage,22,0.5,15.86215002327091,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.2621500232999994,1,0,608.597743863603,5.0,7.5600000000000005,3.5378499767000005
case2_ga_twostage,23,0.5,16.57026025965647,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.970260259699999,1,0,729.0062087490514,5.0,7.5600000000000005,2.829739740300001
case2_ga_twostage,24,0.5,16.26583162191052,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.665831621899998,1,0,677.2405611699079,5.0,7.5600000000000005,3.134168378100002
case2_ga_twostage,25,0.5,16.395538327701157,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.7955383276999983,1,0,699.2961459191507,5.0,7.5600000000000005,3.0044616723000015
case2_ga_twostage,26,0.5,16.401394113686408,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.8013941137,1,0,700.291875350408,5.0,7.5600000000000005,2.9986058863
case2_ga_twostage,27,0.5,15.713181921240475,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.1131819212,1,0,583.2669131980972,5.0,7.5600000000000005,3.6868180788
case2_ga_twostage,28,0.5,15.032572851423257,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.432572851399999,1,0,467.5348010648695,5.0,7.5600000000000005,4.367427148600001
case2_ga_twostage,29,0.5,15.26038485856828,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.6603848585999996,1,0,506.27240526740184,5.0,7.5600000000000005,4.1396151414
case2_ga_twostage,30,0.5,16.610913233647572,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,4.010913233600001,1,0,735.9189208222637,5.0,7.5600000000000005,2.7890867663999988
case2_ga_twostage,31,0.5,16.33593446052705,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.7359344604999984,1,0,689.1609864738155,5.0,7.5600000000000005,3.0640655395000014
case2_ga_twostage,32,0.5,16.803052889723162,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,4.203052889699998,1,0,768.590727901677,5.0,7.5600000000000005,2.596947110300002
case2_ga_twostage,33,0.5,16.93563092965833,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,4.3356309297,1,0,791.1345599963515,5.0,7.5600000000000005,2.4643690703
case2_ga_twostage,34,0.5,16.971500018524907,0.5707747781975477,0.0,0.6705786196805258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.8007252403024503,1,0,700.1781387951913,4.429225221802453,7.5600000000000005,2.4284999815000017
case2_ga_twostage,35,0.5,16.50201175696901,0.0,0.0,0.6705786196805258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.9020117569999977,1,0,717.4010983885291,5.0,7.5600000000000005,2.897988243000002
case2_ga_twostage,36,0.5,16.42302358353089,0.0,0.0,0.6705786196805258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.8230235835000004,1,0,703.9697931674765,5.0,7.5600000000000005,2.9769764164999994
case2_ga_twostage,37,0.5,16.46162649926532,0.0,0.0,0.6705786196805258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.861626499299999,1,0,710.5339093073742,5.0,7.5600000000000005,2.938373500700001
case2_ga_twostage,38,0.5,16.20709708891185,0.0,0.0,0.6705786196805258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.607097088899999,1,0,667.2532250310492,5.0,7.5600000000000005,3.192902911100001
case2_ga_twostage,39,0.5,16.037770833203187,0.0,0.0,0.6705786196805258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.437770833199999,1,0,638.4606536691505,5.0,7.5600000000000005,3.3622291668000006
case2_ga_twostage,40,0.5,16.4493885452669,5.0,0.0,0.4128466609175258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,1.8,1,0,359.9708625,2.0893885452999994,1,0,409.17906300866025,0.0,7.5600000000000005,2.9506114547000006
case2_ga_twostage,41,0.5,16.478561662297302,0.0,0.0,0.4128466609175258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.8785616622999983,1,0,713.4135979131789,2.189225221800001,7.5600000000000005,0.1106635595000025
case2_ga_twostage,42,0.5,16.444109995506835,0.0,0.0,0.4128466609175258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.8441099954999993,1,0,707.555368362336,2.189225221800001,7.5600000000000005,0.1451152263000015
case2_ga_twostage,43,0.5,16.589225221835395,0.0,0.0,0.4128466609175258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.989225221799999,1,0,732.231048407748,2.189225221800001,7.5600000000000005,1.7763568394002505e-15
case2_ga_twostage,44,0.5,16.415669077201635,0.0,0.0,0.4128466609175258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.8156690772,1,0,702.7192183726883,2.189225221800001,7.5600000000000005,0.1735561446000009
case2_ga_twostage,45,0.5,16.414147305975014,0.0,0.0,0.4128466609175258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.8141473059999997,1,0,702.4604533885375,2.189225221800001,7.5600000000000005,0.1750779158000011
case2_ga_twostage,46,0.5,16.380432877327983,0.0,0.0,0.4128466609175258,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.780432877299998,1,0,696.7275852621066,2.189225221800001,7.5600000000000005,0.2087923445000026
case2_ga_twostage,47,0.5,15.114186871495455,2.189225221799038,0.0,0.3,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,1.8,1,0,359.9708625,3.5649616497009613,1,0,660.0884316268138,0.0,7.5600000000000005,1.4750383502990392
