case_name,segment,phase,when_utc,dt_h,distance_nm,node_from_lat,node_from_lon,node_to_lat,node_to_lon,heading_deg,encounter_angle_deg,speed_sog_kts,speed_stw_kts,speed_stw_power_kts,current_component_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,PD_kW,BHP_kW,total_resistance_N,R_calm_N,R_wind_N,R_wave_N,relative_wind_speed_ms,relative_wind_dir_deg,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh
case1_astar_fixed,0,departure,2025-03-25T06:00:00+00:00,0.5,8.809985846716021,34.95,129.15,34.870000000000566,129.00000000000304,237.00436176676186,357.91291189446747,18.444609212929507,18.80976599418131,18.80976599418131,-0.3651567812518007,0.346811493980437,333.9507925286462,0.2008710985327856,36.26328266282818,0.4931400418281556,4.593048095703125,190.1486147224636,14.711840172445934,2.5,17.211840172445932,14417.603368997014,14711.840172445933,1056470.7267036552,1055773.322457067,697.4042465881981,0.0,9.453045611417911,2.087088105532509,1552.0938075277145,17.2118401724,0.0,0.0,0.7,9.18,1,1,1654.03837755,8.031840172399999,1,1,1450.1492375054293,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,1,cruising,2025-03-25T06:30:00+00:00,0.5,8.735045713158954,34.870000000000566,129.00000000000304,34.7925000000007,128.85000000000375,237.85497534695054,358.76017910320155,18.444609212929507,18.66182631170381,18.66182631170381,-0.21721709877430107,0.20622533223330586,323.69435384116076,0.1203311118917571,36.08101947340381,0.4931400418281555,4.593048095703125,190.1486147224636,14.319173464879027,3.5,17.81917346487903,14032.789995581445,14319.173464879026,1037191.1933919981,1036772.25872494,418.93466705802115,0.0,9.505906212175786,1.2398208967984221,1366.3603044,15.120000000000001,2.6991734648999994,0.0,0.5608673471700418,7.5600000000000005,1,0,1366.3603044,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,2,cruising,2025-03-25T07:00:00+00:00,0.5,8.672447632337754,34.7925000000007,128.85000000000375,34.72062500000072,128.69750000000386,240.20216202601534,357.81179645354905,18.444609212929507,18.568672466882656,18.568672466882656,-0.12406325395314842,0.396674298238199,308.361596273901,0.13580276002520758,358.23468973355665,0.4931400418281556,4.593048095703125,190.1486147224636,14.085856240799197,3.5,17.585856240799195,13804.139115983213,14085.856240799198,1025736.4392710916,1024975.5149483165,760.9243227751431,0.0,9.643323266796761,2.1882035464509553,1585.3025179858785,17.5858562408,0.0,0.0,0.5608673471700418,9.18,1,0,1654.03837755,8.405856240799999,1,0,1516.566658421757,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,3,cruising,2025-03-25T07:30:00+00:00,0.5,8.77121840631145,34.72062500000072,128.69750000000386,34.65015625000073,128.54187500000384,241.20397132139814,357.6311833223922,18.444609212929507,18.565723503124218,18.565723503124218,-0.12111429019470976,0.40703886522796107,318.0472444629766,0.12547704729860218,0.9764517258033578,0.5702884793281555,4.583038330078125,192.10174775674994,14.100870535229301,3.5,17.6008705352293,13818.853124524716,14100.870535229302,1026665.64310759,1024604.1486358566,814.5715570165754,1246.9229147169256,9.589561436189685,2.3688166776078385,1390.998213927504,15.397486657203416,2.203383877996582,0.0,0.447290858613467,7.5600000000000005,1,0,1366.3603044,7.837486657203415,1,0,1415.636123455008,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,4,cruising,2025-03-25T08:00:00+00:00,0.5,8.659200908465692,34.65015625000073,128.54187500000384,34.57753906250072,128.39046875000378,239.8107228385687,358.7049557121039,18.444609212929507,18.43817989765873,18.43817989765873,0.006429315270775119,0.2163174603855868,338.6333423029035,0.03628065645269905,324.5800959780639,0.5702884793281555,4.583038330078125,192.10174775674994,13.772288894178933,3.5,17.272288894178935,13496.843116295355,13772.288894178933,1010319.3252855658,1008662.9135327738,433.1911182961442,1223.2206344958338,9.457956509307603,1.2950442878960595,1557.4610210498765,17.2722888942,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.0922888942,1,0,1460.8836645497531,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,5,cruising,2025-03-25T08:30:00+00:00,0.5,8.792857523776094,34.57753906250072,128.39046875000378,34.499384765625706,128.2401171875037,237.78938204506787,0.15216986108300656,18.444609212929507,18.430766293661613,18.430766293661613,0.013842919267895317,0.1783840750915739,65.758687049341,0.10098572947170104,323.7455880026014,0.5702884793281555,4.583038330078125,192.10174775674994,13.746770551602586,3.5,17.246770551602587,13471.835140570533,13746.770551602585,1008990.0529241661,1007743.4893273255,49.342741627691275,1197.2208552129005,9.312090055557954,0.15216986108300654,1555.1952594359416,17.2467705516,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.066770551600001,1,0,1456.3521413218832,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,6,cruising,2025-03-25T09:00:00+00:00,0.5,8.811682314691888,34.499384765625706,128.2401171875037,34.41734619140694,128.0925292968786,236.05586637548868,2.0241266717416213,18.444609212929507,18.533362985864223,18.533362985864223,-0.08875377293471748,0.5509862447754593,91.49576439183443,0.1423902509286691,344.7587048957156,0.5173099637031555,4.568634033203125,184.09393877560407,14.009654262940604,3.5,17.509654262940604,13729.461177681791,14009.654262940603,1022080.4101032834,1020537.2757073627,619.2975563784646,923.8368395423059,9.045460688580148,2.0241266717416218,1578.5365802783197,17.5096542629,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.3296542629,1,0,1503.0347830066394,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,7,cruising,2025-03-25T09:30:00+00:00,0.5,9.07487347812186,34.41734619140694,128.0925292968786,34.319336547852245,127.95313232422231,229.61501061281047,4.756795331007032,18.444609212929507,18.530589034652426,18.530589034652426,-0.0859798217229204,0.8690162211647594,109.74443223377932,0.04425271304900316,51.37641099421863,0.5173099637031555,4.568634033203125,184.09393877560407,14.016575952798725,3.5,17.516575952798725,13736.24443374275,14016.575952798725,1022539.4203843856,1020189.3705324447,1468.845006985541,881.2048449553315,9.087210827364812,4.756795331007032,1579.1511538626942,17.5165759528,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.3365759528,1,0,1504.2639301753886,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,8,cruising,2025-03-25T10:00:00+00:00,0.5,9.838256084234573,34.319336547852245,127.95313232422231,34.19733413696355,127.82078308105817,221.91675792874588,6.488537438429833,18.444609212929507,18.469867694208435,18.469867694208435,-0.025258481278928196,1.0756287212631286,120.89736065699609,0.11485984963676993,318.41252560146125,0.5173099637031555,4.568634033203125,184.09393877560407,13.873259452627103,3.5,17.373259452627103,13595.79426357456,13873.259452627102,1015519.0110203173,1012601.618673554,2117.955519859246,799.4368269040565,9.34296799718361,6.488537438429833,1566.4261493478368,17.3732594526,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.1932594526,1,0,1478.8139211456737,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,9,cruising,2025-03-25T10:30:00+00:00,0.5,10.058869681420072,34.19733413696355,127.82078308105817,34.06933353424136,127.6901957702671,220.21645465835618,7.843557667033593,18.444609212929507,18.63034563857169,18.63034563857169,-0.1857364256421836,1.3081510329502737,130.53086870683524,0.12161763017868298,1.9988880983941044,0.7035892605781555,4.801055908203125,195.07048933730766,14.305289703623357,3.5,17.80528970362336,14019.18390955089,14305.289703623357,1037061.7559408628,1032771.3070016624,2694.9445138509054,1595.504425349432,9.585576072281631,7.843557667033593,1604.7859117398712,17.8052897036,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.6252897036,1,0,1555.5334459297424,0.0,0,0,0.0,0.0,0,0,0.0
