case_name,node_index,time_h,time_utc,lat,lon,speed_out_kts,speed_over_ground_kts,speed_through_water_kts,heading_out_deg,outgoing_phase,outgoing_speed_sog_kts,outgoing_speed_stw_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh
case1_astar_fixed,0,0.0,2025-03-25T06:00:00+00:00,34.95,129.15,18.444609212929507,18.444609212929507,18.80976599418131,237.00436176676186,departure,18.444609212929507,18.80976599418131,0.346811493980437,333.9507925286462,0.2008710985327856,36.26328266282818,0.4931400418281556,4.593048095703125,190.1486147224636,14.711840172445934,2.5,17.211840172445932,1552.0938075277145,17.2118401724,0.0,0.0,0.7,9.18,1,1,1654.03837755,8.031840172399999,1,1,1450.1492375054293,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,1,0.5,2025-03-25T06:30:00+00:00,34.870000000000566,129.00000000000304,18.444609212929507,18.444609212929507,18.66182631170381,237.85497534695054,cruising,18.444609212929507,18.66182631170381,0.20622533223330586,323.69435384116076,0.1203311118917571,36.08101947340381,0.4931400418281555,4.593048095703125,190.1486147224636,14.319173464879027,3.5,17.81917346487903,1366.3603044,15.120000000000001,2.6991734648999994,0.0,0.5608673471700418,7.5600000000000005,1,0,1366.3603044,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,2,1.0,2025-03-25T07:00:00+00:00,34.7925000000007,128.85000000000375,18.444609212929507,18.444609212929507,18.568672466882656,240.20216202601534,cruising,18.444609212929507,18.568672466882656,0.396674298238199,308.361596273901,0.13580276002520758,358.23468973355665,0.4931400418281556,4.593048095703125,190.1486147224636,14.085856240799197,3.5,17.585856240799195,1585.3025179858785,17.5858562408,0.0,0.0,0.5608673471700418,9.18,1,0,1654.03837755,8.405856240799999,1,0,1516.566658421757,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,3,1.5,2025-03-25T07:30:00+00:00,34.72062500000072,128.69750000000386,18.444609212929507,18.444609212929507,18.565723503124218,241.20397132139814,cruising,18.444609212929507,18.565723503124218,0.40703886522796107,318.0472444629766,0.12547704729860218,0.9764517258033578,0.5702884793281555,4.583038330078125,192.10174775674994,14.100870535229301,3.5,17.6008705352293,1390.998213927504,15.397486657203416,2.203383877996582,0.0,0.447290858613467,7.5600000000000005,1,0,1366.3603044,7.837486657203415,1,0,1415.636123455008,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,4,2.0,2025-03-25T08:00:00+00:00,34.65015625000073,128.54187500000384,18.444609212929507,18.444609212929507,18.43817989765873,239.8107228385687,cruising,18.444609212929507,18.43817989765873,0.2163174603855868,338.6333423029035,0.03628065645269905,324.5800959780639,0.5702884793281555,4.583038330078125,192.10174775674994,13.772288894178933,3.5,17.272288894178935,1557.4610210498765,17.2722888942,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.0922888942,1,0,1460.8836645497531,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,5,2.5,2025-03-25T08:30:00+00:00,34.57753906250072,128.39046875000378,18.444609212929507,18.444609212929507,18.430766293661613,237.78938204506787,cruising,18.444609212929507,18.430766293661613,0.1783840750915739,65.758687049341,0.10098572947170104,323.7455880026014,0.5702884793281555,4.583038330078125,192.10174775674994,13.746770551602586,3.5,17.246770551602587,1555.1952594359416,17.2467705516,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.066770551600001,1,0,1456.3521413218832,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,6,3.0,2025-03-25T09:00:00+00:00,34.499384765625706,128.2401171875037,18.444609212929507,18.444609212929507,18.533362985864223,236.05586637548868,cruising,18.444609212929507,18.533362985864223,0.5509862447754593,91.49576439183443,0.1423902509286691,344.7587048957156,0.5173099637031555,4.568634033203125,184.09393877560407,14.009654262940604,3.5,17.509654262940604,1578.5365802783197,17.5096542629,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.3296542629,1,0,1503.0347830066394,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,7,3.5,2025-03-25T09:30:00+00:00,34.41734619140694,128.0925292968786,18.444609212929507,18.444609212929507,18.530589034652426,229.61501061281047,cruising,18.444609212929507,18.530589034652426,0.8690162211647594,109.74443223377932,0.04425271304900316,51.37641099421863,0.5173099637031555,4.568634033203125,184.09393877560407,14.016575952798725,3.5,17.516575952798725,1579.1511538626942,17.5165759528,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.3365759528,1,0,1504.2639301753886,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,8,4.0,2025-03-25T10:00:00+00:00,34.319336547852245,127.95313232422231,18.444609212929507,18.444609212929507,18.469867694208435,221.91675792874588,cruising,18.444609212929507,18.469867694208435,1.0756287212631286,120.89736065699609,0.11485984963676993,318.41252560146125,0.5173099637031555,4.568634033203125,184.09393877560407,13.873259452627103,3.5,17.373259452627103,1566.4261493478368,17.3732594526,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.1932594526,1,0,1478.8139211456737,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,9,4.5,2025-03-25T10:30:00+00:00,34.19733413696355,127.82078308105817,18.444609212929507,18.444609212929507,18.63034563857169,220.21645465835618,cruising,18.444609212929507,18.63034563857169,1.3081510329502737,130.53086870683524,0.12161763017868298,1.9988880983941044,0.7035892605781555,4.801055908203125,195.07048933730766,14.305289703623357,3.5,17.80528970362336,1604.7859117398712,17.8052897036,0.0,0.0,0.447290858613467,9.18,1,0,1654.03837755,8.6252897036,1,0,1555.5334459297424,0.0,0,0,0.0,0.0,0,0,0.0
