case_name,t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh
case1_astar_fixed,26,0.5,17.494826510445833,0.0,0.0,0.42759582107222127,9.18,1,0,1654.03837755,8.3148265104,1,0,1500.4016846928457,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,27,0.5,17.510305601089364,0.0,0.0,0.42759582107222127,9.18,1,0,1654.03837755,8.330305601100001,1,0,1503.150447030309,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,28,0.5,17.325587680564354,0.0,0.0,0.42759582107222127,9.18,1,0,1654.03837755,8.145587680600002,1,0,1470.3484128045593,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,29,0.5,17.229497309091364,0.0,0.0,0.42759582107222127,9.18,1,0,1654.03837755,8.049497309100001,1,0,1453.2847751987642,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,30,0.5,18.10026772055448,0.0,0.0,0.42759582107222127,9.18,1,0,1654.03837755,8.920267720600002,1,0,1607.9153641718217,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,31,0.5,18.5749571487941,0.21495714879999994,0.0,0.4165155556701545,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,32,0.5,18.236351098604494,0.0,0.0,0.4165155556701545,9.18,1,0,1654.03837755,9.0563510986,1,0,1632.0809221784775,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,33,0.5,17.758166528065384,0.0,0.0,0.4165155556701545,9.18,1,0,1654.03837755,8.578166528099999,1,0,1547.1653568380448,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,34,0.5,17.691948622774973,0.0,0.0,0.4165155556701545,9.18,1,0,1654.03837755,8.511948622799999,1,0,1535.4064436252465,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,35,0.5,17.841676100570307,0.0,0.0,0.4165155556701545,9.18,1,0,1654.03837755,8.661676100600001,1,0,1561.9949080148235,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,36,0.5,17.809964992225755,0.0,0.0,0.4165155556701545,9.18,1,0,1654.03837755,8.629964992200001,1,0,1556.3636792728712,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,37,0.5,17.771066057473234,0.0,0.0,0.4165155556701545,9.18,1,0,1654.03837755,8.5910660575,1,0,1549.4560431110908,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,38,0.5,18.175040841370787,0.0,0.0,0.4165155556701545,9.18,1,0,1654.03837755,8.995040841400002,1,0,1621.1935044898191,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,39,0.5,18.29101435779,0.0,0.0,0.4165155556701545,9.18,1,0,1654.03837755,9.111014357800002,1,0,1641.7879722270923,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,40,0.5,17.936125592861494,0.0,0.0,0.4165155556701545,9.18,1,0,1654.03837755,8.756125592900002,1,0,1578.767159838811,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,41,0.5,18.463636184506612,0.1036361845000009,0.0,0.4111734843041727,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,42,0.5,19.234361291282536,0.8743612913000014,0.0,0.3661033146495136,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,43,0.5,19.23181738156568,0.8718173815999997,0.0,0.32116427436083406,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,44,0.5,18.76999316748126,0.4099931675000015,0.0,0.30003060593298964,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,45,0.5,18.360593755060588,0.0005937550999988161,0.0,0.3,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,46,0.5,17.82973727596956,0.0,0.0,0.3,9.18,1,0,1654.03837755,8.649737276,1,0,1559.8748227946974,0.0,0,0,0.0,0.0,0,0,0.0
case1_astar_fixed,47,0.5,16.60059007421566,0.0,0.0,0.3,7.5600000000000005,1,0,1366.3603044,9.040590074199999,1,0,1629.282094320291,0.0,0,0,0.0,0.0,0,0,0.0
