t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
15,0.5,18.72099414334474,0.09027759299981071,0.0,0.9453465158247499,9.18,1,0,1654.03837755,9.45071655030019,1,0,1707.097555132173,0.0,0,0,0.0,0.0,0,0,0.0,8.409722407000189,9.45071655030019,0.5790058567000003
16,0.5,18.262031912144785,0.0,0.0979680879,0.95,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.18,0.9400000000000013
17,0.5,18.505899960931984,0.14589996089999957,0.0,0.9424793834587596,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,8.3541000391,9.18,0.7941000391000017
18,0.5,18.657046573944136,0.2970465739000012,0.0,0.9271677043917425,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,8.202953426099999,9.18,0.6429534261000001
19,0.5,18.53283932270481,0.1728393226999998,0.0,0.9182584609535942,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,8.3271606773,9.18,0.7671606773000015
20,0.5,18.73894870402452,0.378948703999999,0.0,0.8987250226030702,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,8.121051296000001,9.18,0.5610512960000023
21,0.5,19.12438810044536,0.7643881004000015,0.0,0.859323574128826,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,7.7356118995999985,9.18,0.1756118995999998
22,0.5,19.964896138061555,1.604896138099999,0.0,0.7765969690720886,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,6.895103861900001,9.18,-0.6648961380999978
23,0.5,19.77987389101639,1.4198738910000017,0.0,0.7034075932473141,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,7.080126108999998,9.18,-0.47987389100000044
24,0.5,19.919834562899243,0.0,0.0,0.7034075932473141,9.18,1,0,1654.03837755,10.7398345629,1,0,1959.7586557522318,0.0,0,0,0.0,0.0,0,0,0.0,8.5,10.7398345629,-0.6198345628999995
25,0.5,19.894927387177926,1.5349273871999998,0.0,0.6242876248349081,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,6.9650726128,9.18,-0.5949273871999985
26,0.5,19.406186266154094,1.0461862661999994,0.0,0.570360497711173,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,7.184993655596756,9.18,-0.37500634440324276
27,0.5,19.072660596736313,0.712660596700001,0.0,0.5336254154070331,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,6.472333058896442,9.18,-1.0876669411035564
28,0.5,18.78710804672837,0.427108046699999,0.0,0.5116095367111472,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,6.045225012196255,9.18,-1.5147749878037438
29,0.5,18.533855705296986,0.17385570529999939,0.0,0.5026479024173288,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,5.871369306896178,9.18,-1.6886306931038204
30,0.5,18.004674751160955,0.0,0.3553252487999998,0.5195258517353288,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,6.198801523665379,9.18,-1.3611984763346197
31,0.5,18.520147380196853,0.0,0.0,0.5195258517353288,9.18,1,0,1654.03837755,9.340147380200001,1,0,1685.4265149798293,0.0,0,0,0.0,0.0,0,0,0.0,6.198801523665379,9.340147380200001,-1.5213458565346212
32,0.5,19.144904993033812,0.5439830361833439,0.0,0.4914854890454534,9.18,1,0,1654.03837755,9.420921956816658,1,0,1701.2579541736118,0.0,0,0,0.0,0.0,0,0,0.0,5.654818487481796,9.420921956816658,-2.146103469334861
33,0.5,18.867147341801413,0.5071473417999997,0.0,0.4653438734887409,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,5.147671145681573,9.18,-2.4123288543184254
34,0.5,18.409032047171877,0.0,0.0,0.4653438734887409,9.18,1,0,1654.03837755,9.2290320472,1,0,1663.648429453799,0.0,0,0,0.0,0.0,0,0,0.0,5.147671145681573,9.2290320472,-2.461360901518426
35,0.5,18.394074099452464,0.0,0.0,0.4653438734887409,9.18,1,0,1654.03837755,9.2140740995,1,0,1660.7167416703992,0.0,0,0,0.0,0.0,0,0,0.0,5.147671145681573,9.2140740995,-2.446402953818425
36,0.5,18.265097829430285,0.0,0.09490217060000106,0.46985172659224095,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,5.235123495889474,9.18,-2.3248765041105246
37,0.5,18.568516385903212,0.2085163859000012,0.0,0.45910345927780316,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,5.026607109989381,9.18,-2.5333928900106173
38,0.5,18.680564640568367,0.0,0.0,0.45910345927780316,9.18,1,0,1654.03837755,9.5005646406,1,0,1716.8675476664935,0.0,0,0,0.0,0.0,0,0,0.0,5.026607109989381,9.5005646406,-2.853957530610618
39,0.5,19.023543829595248,0.6635438296000018,0.0,0.424900169092221,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.363063280389087,9.18,-3.1969367196109113
40,0.5,18.70496919978414,0.3449691998000013,0.0,0.4071182515767492,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.018094080588933,9.18,-3.5419059194110654
41,0.5,18.264638997756677,0.0,0.09536100220000066,0.4116478991812492,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.105969244116235,9.18,-3.454030755883764
42,0.5,18.25492834103785,0.0,0.10507165900000004,0.4166388029837492,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.202792777884734,9.18,-3.3572072221152647
43,0.5,18.54556414695906,0.1855641470000009,0.0,0.4070736407672501,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.017228630884652,9.18,-3.5427713691153464
44,0.5,18.515690191130982,0.0,0.0,0.4070736407672501,9.18,1,0,1654.03837755,9.3356901911,1,0,1684.552926764731,0.0,0,0,0.0,0.0,0,0,0.0,4.017228630884652,9.3356901911,-3.698461560215346
45,0.5,18.160736481492,0.0,0.19926351850000046,0.41653865789600014,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.200849963182403,9.18,-3.3591500368175957
46,0.5,18.092845018669944,0.0,0.26715498129999915,0.4292285195077501,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.447033278450352,9.18,-3.112966721549647
47,0.5,16.870074094858616,0.0,1.489925905099998,0.5,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,5.82,9.18,-1.7399999999999984
