case_name,node_index,time_h,time_utc,lat,lon,speed_out_kts,speed_over_ground_kts,speed_through_water_kts,heading_out_deg,outgoing_phase,outgoing_speed_sog_kts,outgoing_speed_stw_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG1_StartFuel_kg,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG2_StartFuel_kg,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG3_StartFuel_kg,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh,milp_DG4_StartFuel_kg,milp_StartFuel_kg,milp_FuelWithStart_kg,milp_ESS_N1_reserve_MW,milp_N1_largest_output_MW,milp_N1_min_margin_MW
case1_astar_fixed,0,0.0,2025-03-25T06:00:00+00:00,31.0,122.0,18.0,18.0,17.8701057445339,59.69257147161935,departure,18.0,17.8701057445339,7.470274097630386,173.48364000395765,0.06796815442788413,49.1616191030969,0.6213138699531555,3.343048095703125,165.59393428700443,12.643691467703498,2.5,15.143691467703498,1470.2563356,16.32,0.0,1.1763085322999993,0.7558746552842499,0.0,0,0,0.0,0.0,9.18,1,1,1654.03837755,170.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,290.0,1760.2563356,8.5,9.18,0.5800000000000018
case1_astar_fixed,1,0.5,2025-03-25T06:30:00+00:00,31.08000000000017,122.1600000000006,18.0,18.0,17.849727989826036,59.67148004185809,cruising,18.0,17.849727989826036,8.032263070281308,172.84201355253367,0.08992573959781341,28.951122320427174,0.6213138699531555,3.343048095703125,165.59393428700443,12.556410894113615,3.5,16.056410894113615,1446.8523831035052,16.0564108941,0.0,0.0,0.7558746552842499,0.0,0,0,0.0,0.0,8.9164108941,1,0,1607.2304725570104,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1446.8523831035052,8.5,8.9164108941,0.8435891059000014
case1_astar_fixed,2,1.0,2025-03-25T07:00:00+00:00,31.16000000000018,122.32000000000068,18.0,18.0,17.72229017870488,58.01696376320448,cruising,18.0,17.72229017870488,8.416677044134222,172.6867499609731,0.15934369281115843,31.730514123491083,0.7756107449531554,3.5830383300781246,169.83612314934834,12.2806003463593,3.5,15.7806003463593,1430.5505888357213,15.872810479757405,0.0,0.09221013335740424,0.7602546366187266,8.732810479757404,1,1,1574.6268840214427,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,170.0,1600.5505888357213,8.5,8.732810479757404,1.0271895202425974
case1_astar_fixed,3,1.5,2025-03-25T07:30:00+00:00,31.240000000000194,122.47000000000075,18.0,18.0,17.47090065931718,52.00191443512407,cruising,18.0,17.47090065931718,8.569005976401256,173.0160656934453,0.31186853119287944,22.784993610142877,0.7756107449531555,3.5830383300781254,169.83612314934834,11.747324269265487,3.5,15.247324269265487,1375.013962969585,15.247324269300002,0.0,0.0,0.7602546366187266,8.107324269300001,1,0,1463.5536322891703,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1375.013962969585,8.5,8.107324269300001,1.6526757307000004
case1_astar_fixed,4,2.0,2025-03-25T08:00:00+00:00,31.34000000000021,122.62000000000083,18.0,18.0,17.228288240548235,51.97226548562392,cruising,18.0,17.228288240548235,8.655196004580148,173.20863528253727,0.41901370338446636,33.31855186909183,0.8508060574531555,4.032257080078125,163.79706138129842,11.234740885229465,3.5,14.734740885229465,1329.5019260885479,14.7347408852,0.0,0.0,0.7602546366187266,8.854740887838428,1,0,1596.2791709770954,0.0,0.0,0,0,0.0,0.0,5.88,1,1,1062.7246812,120.0,-2.6384270874582403e-09,0,0,0.0,0.0,120.0,1449.5019260885479,8.5,8.854740887838428,2.1652591147999996
case1_astar_fixed,5,2.5,2025-03-25T08:30:00+00:00,31.440000000000225,122.7700000000009,18.0,18.0,17.10146508299657,54.831250709292995,cruising,18.0,17.10146508299657,8.724234975891823,173.62410863762727,0.46230302477610613,55.7319980553365,0.9750736355781555,4.363800048828125,167.750184102552,10.981637547232095,3.5,14.481637547232095,1286.47429365,14.28,0.2016375472000007,0.0,0.749860948618722,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,7.14,1,1,1286.47429365,120.0,120.0,1406.47429365,8.2983624528,7.14,2.418362452800001
case1_astar_fixed,6,3.0,2025-03-25T09:00:00+00:00,31.53000000000024,122.92000000000098,18.0,18.0,17.168640682782893,59.551437798665226,cruising,18.0,17.168640682782893,8.681609498853417,173.89946595498978,0.4564866384361223,80.01216634626329,0.9750736355781555,4.363800048828125,167.750184102552,11.098469724796555,3.5,14.598469724796555,1286.4742936524135,14.28000000004228,0.31846972475771995,0.0,0.7334449834250178,1.218751845511922e-09,0,0,2.195928458808941e-07,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,7.139999998823528,1,0,1286.474293435234,0.0,0.0,1286.4742936524135,8.181530275242281,7.14,2.301530275200001
case1_astar_fixed,7,3.5,2025-03-25T09:30:00+00:00,31.61000000000025,123.08000000000106,18.0,18.0,17.468745586976866,59.52984595263649,cruising,18.0,17.468745586976866,8.560102176794773,173.57768413578114,0.29733039893460317,82.72311019380867,0.9750736355781555,4.363800048828125,167.750184102552,11.743245586045594,3.5,15.243245586045594,1374.6518186014573,15.243245586,0.0,0.0,0.7334449834250178,8.103245586,1,1,1462.829343552915,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,170.0,1544.6518186014573,8.5,8.103245586,1.6567544140000017
case1_astar_fixed,8,4.0,2025-03-25T10:00:00+00:00,31.690000000000264,123.24000000000115,18.0,18.0,17.674818431182445,59.508177847849616,cruising,18.0,17.674818431182445,8.402824618510675,172.85758754011516,0.16764251642027034,55.779801453917436,0.9750736355781555,4.363800048828125,167.750184102552,12.207225823239055,3.5,15.707225823239055,1415.8484052117587,15.707225823200002,0.0,0.0,0.7334449834250178,8.567225823200001,1,0,1545.2225167735178,0.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,0.0,0,0,0.0,0.0,120.0,1535.8484052117587,8.5,8.567225823200001,1.1927741768000004
case1_astar_fixed,9,4.5,2025-03-25T10:30:00+00:00,31.770000000000277,123.40000000000123,18.0,18.0,17.661970103401398,59.48643329192418,cruising,18.0,17.661970103401398,8.236301512457132,171.65696051699234,0.1863931940851257,80.58535496190113,0.9272220730781555,4.676300048828125,169.00799053365623,12.170505813588145,3.5,15.670505813588145,1412.5880528636794,15.670505813600002,0.0,0.0,0.7334449834250178,8.530505813600001,1,0,1538.701812077359,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,0,0,0.0,0.0,0.0,1412.5880528636794,8.5,8.530505813600001,1.2294941864000002
