case_name,segment,phase,when_utc,dt_h,distance_nm,node_from_lat,node_from_lon,node_to_lat,node_to_lon,heading_deg,encounter_angle_deg,speed_sog_kts,speed_stw_kts,speed_stw_power_kts,current_component_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,PD_kW,BHP_kW,total_resistance_N,R_calm_N,R_wind_N,R_wave_N,relative_wind_speed_ms,relative_wind_dir_deg,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG1_StartFuel_kg,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG2_StartFuel_kg,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG3_StartFuel_kg,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh,milp_DG4_StartFuel_kg,milp_StartFuel_kg,milp_FuelWithStart_kg,milp_ESS_N1_reserve_MW,milp_N1_largest_output_MW,milp_N1_min_margin_MW
case1_astar_fixed,0,departure,2025-03-25T06:00:00+00:00,0.5,9.529887086594815,31.0,122.0,31.08000000000017,122.1600000000006,59.69257147161935,312.42203453030356,18.0,17.8701057445339,17.8701057445339,0.1298942554660997,7.470274097630386,173.48364000395765,0.06796815442788413,49.1616191030969,0.6213138699531555,3.343048095703125,165.59393428700443,12.643691467703498,2.5,15.143691467703498,12390.817638349428,12643.691467703498,926988.6348760213,940399.6673830026,-15805.589202162188,2394.5566951808964,9.25969480104896,47.5779654696964,1470.2563356,16.32,0.0,1.1763085322999993,0.7558746552842499,0.0,0,0,0.0,0.0,9.18,1,1,1654.03837755,170.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,290.0,1760.2563356,8.5,9.18,0.5800000000000018
case1_astar_fixed,1,cruising,2025-03-25T06:30:00+00:00,0.5,9.523907218330455,31.08000000000017,122.1600000000006,31.16000000000018,122.32000000000068,59.67148004185809,309.55698420429917,18.0,17.849727989826036,17.849727989826036,0.15027201017396363,8.032263070281308,172.84201355253367,0.08992573959781341,28.951122320427174,0.6213138699531555,3.343048095703125,165.59393428700443,12.556410894113615,3.5,16.056410894113615,12305.282676231342,12556.410894113615,921874.943114057,938030.6598258882,-18548.000132241523,2392.283420410225,9.577748139935784,50.44301579570082,1446.8523831035052,16.0564108941,0.0,0.0,0.7558746552842499,0.0,0,0,0.0,0.0,8.9164108941,1,0,1607.2304725570104,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1446.8523831035052,8.5,8.9164108941,0.8435891059000014
case1_astar_fixed,2,cruising,2025-03-25T07:00:00+00:00,0.5,9.078243193853506,31.16000000000018,122.32000000000068,31.240000000000194,122.47000000000075,58.01696376320448,306.9207672640283,18.0,17.72229017870488,17.72229017870488,0.2777098212951199,8.416677044134222,172.6867499609731,0.15934369281115843,31.730514123491083,0.7756107449531554,3.5830383300781246,169.83612314934834,12.2806003463593,3.5,15.7806003463593,12034.988339432115,12280.6003463593,908165.1335638268,923336.0509461273,-20010.023802875883,4839.106420575351,9.566966121944748,53.07923273597171,1430.5505888357213,15.872810479757405,0.0,0.09221013335740424,0.7602546366187266,8.732810479757404,1,1,1574.6268840214427,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,170.0,1600.5505888357213,8.5,8.732810479757404,1.0271895202425974
case1_astar_fixed,3,cruising,2025-03-25T07:30:00+00:00,0.5,9.761094846921786,31.240000000000194,122.47000000000075,31.34000000000021,122.62000000000083,52.00191443512407,303.4127770401479,18.0,17.47090065931718,17.47090065931718,0.5290993406828205,8.569005976401256,173.0160656934453,0.31186853119287944,22.784993610142877,0.7756107449531555,3.5830383300781254,169.83612314934834,11.747324269265487,3.5,15.247324269265487,11512.377783880178,11747.324269265488,881344.9096571251,894947.5383482093,-18615.246255429473,5012.617564345254,8.798084058136707,56.587222959852106,1375.013962969585,15.247324269300002,0.0,0.0,0.7602546366187266,8.107324269300001,1,0,1463.5536322891703,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1375.013962969585,8.5,8.107324269300001,1.6526757307000004
case1_astar_fixed,4,cruising,2025-03-25T08:00:00+00:00,0.5,9.754650196742341,31.34000000000021,122.62000000000083,31.440000000000225,122.7700000000009,51.97226548562392,302.812977938307,18.0,17.228288240548235,17.228288240548235,0.7717117594517666,8.655196004580148,173.20863528253727,0.41901370338446636,33.31855186909183,0.8508060574531555,4.032257080078125,163.79706138129842,11.234740885229465,3.5,14.734740885229465,11010.046067524876,11234.740885229465,854939.0741541607,868283.2804579809,-18936.32644998608,5592.120146165779,8.805463305224574,57.187022061693014,1329.5019260885479,14.7347408852,0.0,0.0,0.7602546366187266,8.854740887838428,1,0,1596.2791709770954,0.0,0.0,0,0,0.0,0.0,5.88,1,1,1062.7246812,120.0,-2.6384270874582403e-09,0,0,0.0,0.0,120.0,1449.5019260885479,8.5,8.854740887838428,2.1652591147999996
case1_astar_fixed,5,cruising,2025-03-25T08:30:00+00:00,0.5,9.390648828842421,31.440000000000225,122.7700000000009,31.53000000000024,122.92000000000098,54.831250709292995,303.4868723159509,18.0,17.10146508299657,17.10146508299657,0.8985349170034298,8.724234975891823,173.62410863762727,0.46230302477610613,55.7319980553365,0.9750736355781555,4.363800048828125,167.750184102552,10.981637547232095,3.5,14.481637547232095,10762.004796287454,10981.637547232096,841922.4804350964,854623.7031782418,-20171.557554687453,7470.334811542111,9.167286375999755,56.51312768404908,1286.47429365,14.28,0.2016375472000007,0.0,0.749860948618722,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,7.14,1,1,1286.47429365,120.0,120.0,1406.47429365,8.2983624528,7.14,2.418362452800001
case1_astar_fixed,6,cruising,2025-03-25T09:00:00+00:00,0.5,9.49003707240142,31.53000000000024,122.92000000000098,31.61000000000025,123.08000000000106,59.551437798665226,305.6868002923167,18.0,17.168640682782893,17.168640682782893,0.8313593172171065,8.681609498853417,173.89946595498978,0.4564866384361223,80.01216634626329,0.9750736355781555,4.363800048828125,167.750184102552,11.098469724796555,3.5,14.598469724796555,10876.500330300623,11098.469724796554,847616.8987901359,861835.366604878,-21461.543863713978,7243.076048971889,9.738088058495173,54.31319970768329,1286.4742936524135,14.28000000004228,0.31846972475771995,0.0,0.7334449834250178,1.218751845511922e-09,0,0,2.195928458808941e-07,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,7.139999998823528,1,0,1286.474293435234,0.0,0.0,1286.4742936524135,8.181530275242281,7.14,2.301530275200001
case1_astar_fixed,7,cruising,2025-03-25T09:30:00+00:00,0.5,9.483974417515178,31.61000000000025,123.08000000000106,31.690000000000264,123.24000000000115,59.52984595263649,306.44019605964803,18.0,17.468745586976866,17.468745586976866,0.5312544130231356,8.560102176794773,173.57768413578114,0.29733039893460317,82.72311019380867,0.9750736355781555,4.363800048828125,167.750184102552,11.743245586045594,3.5,15.243245586045594,11508.380674324682,11743.245586045594,881146.3146682271,894707.5510331327,-20925.4982364296,7364.261871524061,9.717033524716904,53.55980394035196,1374.6518186014573,15.243245586,0.0,0.0,0.7334449834250178,8.103245586,1,1,1462.829343552915,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,170.0,1544.6518186014573,8.5,8.103245586,1.6567544140000017
case1_astar_fixed,8,cruising,2025-03-25T10:00:00+00:00,0.5,9.477899355455042,31.690000000000264,123.24000000000115,31.770000000000277,123.40000000000123,59.508177847849616,307.5465306694708,18.0,17.674818431182445,17.674818431182445,0.3251815688175556,8.402824618510675,172.85758754011516,0.16764251642027034,55.779801453917436,0.9750736355781555,4.363800048828125,167.750184102552,12.207225823239055,3.5,15.707225823239055,11963.081306774273,12207.225823239054,905033.3749266914,917914.8590644663,-20329.4516224099,7447.967484634972,9.730201368393056,52.45346933052917,1415.8484052117587,15.707225823200002,0.0,0.0,0.7334449834250178,8.567225823200001,1,0,1545.2225167735178,0.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,0.0,0,0,0.0,0.0,120.0,1535.8484052117587,8.5,8.567225823200001,1.1927741768000004
case1_astar_fixed,9,cruising,2025-03-25T10:30:00+00:00,0.5,9.471811909764034,31.770000000000277,123.40000000000123,31.85000000000029,123.56000000000131,59.48643329192418,308.88821242672674,18.0,17.661970103401398,17.661970103401398,0.3380298965986026,8.236301512457132,171.65696051699234,0.1863931940851257,80.58535496190113,0.9272220730781555,4.676300048828125,169.00799053365623,12.170505813588145,3.5,15.670505813588145,11927.095697316381,12170.505813588145,903022.407387737,916452.4772998388,-19815.459674214762,6385.389762112854,9.79910110035857,51.11178757327327,1412.5880528636794,15.670505813600002,0.0,0.0,0.7334449834250178,8.530505813600001,1,0,1538.701812077359,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,0,0,0.0,0.0,0.0,1412.5880528636794,8.5,8.530505813600001,1.2294941864000002
