t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
0,0.5,14.385555211027285,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,1,1801.6537392,2.1,1,1,419.96600625,2.2055552109999996,1,1,437.9148230638696,3.88,10.08,6.294444789000002
1,0.5,15.597860100753524,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.4178601008,1,0,644.0575438583815,3.88,10.08,5.0821398991999995
2,0.5,15.39275329003239,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.2127532899999998,1,0,609.1807761512309,3.88,10.08,5.28724671
3,0.5,14.930049781872542,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,2.750049781899999,1,0,530.5017566377195,3.88,10.08,5.749950218100002
4,0.5,15.399864049880547,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.2198640498999995,1,0,610.3899038261546,3.88,10.08,5.280135950100002
5,0.5,14.98161494662443,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,2.8016149466000004,1,0,539.269999213421,3.88,10.08,5.698385053400001
6,0.5,15.535401092240301,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.3554010922000006,1,0,633.436890523348,3.88,10.08,5.144598907800001
7,0.5,15.582061438217425,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.4020614382,1,0,641.371108028022,3.88,10.08,5.097938561800001
8,0.5,19.941719031160243,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,3.9817190312000017,1,0,739.9372314146325,3.88,10.08,0.7382809687999998
9,0.5,15.5743267927859,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.3943267928000007,1,0,640.0558936289449,3.88,10.08,5.105673207200001
