method,child_id,alpha,energy_mwh,p_req_mean_mw,p_req_std_mw,p_req_min_mw,p_req_max_mw,mean_abs_ramp_mw,feasible,status,fuel_kg,operating_fuel_kg,start_fuel_kg,dg_count_switches,commitment_signature
parent,case2_seed,1.0,385.433050236777,16.059710426532373,0.5462715658989881,14.385555211027285,16.971500018524907,0.33161342975603136,True,Optimal,69919.72468683976,69509.72468683976,410.0,2,222222222222222222222222222222222332222222222222
parent,case3_scaled,0.0,385.433050236777,16.059710426532373,1.1783646593576567,14.354089409749381,18.82379454380919,0.6055864187051888,True,Optimal,69946.25222698401,69606.25222698401,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_000,0.0,385.433050236777,16.059710426532373,1.1783646593576567,14.354089409749381,18.82379454380919,0.6055864187051888,True,Optimal,69946.25222698401,69606.25222698401,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_001,0.025,385.433050236777,16.059710426532373,1.1491579547741715,14.373091846293033,18.755148900529267,0.5928785063076589,True,Optimal,69943.9098425724,69603.9098425724,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_002,0.05,385.43305023677704,16.059710426532376,1.1201219810358531,14.392094282836688,18.686503257249353,0.5801705939101286,True,Optimal,69941.9360010099,69601.9360010099,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_003,0.07500000000000001,385.4330502367769,16.059710426532373,1.091270366389495,14.411096719380335,18.617857613969424,0.5674638092572156,True,Optimal,69940.13978333944,69600.13978333944,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_004,0.1,385.4330502367769,16.059710426532373,1.0626181277868834,14.430099155923987,18.549211970689505,0.5547576165482742,True,Optimal,69938.75509667616,69598.75509667616,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_005,0.125,385.433050236777,16.059710426532373,1.0341818366341566,14.449101592467642,18.48056632740959,0.5420514238393334,True,Optimal,69937.75239890203,69597.75239890203,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_006,0.15000000000000002,385.43305023677704,16.059710426532376,1.005979805825122,14.468104029011295,18.411920684129672,0.5293452311303922,True,Optimal,69936.94681533656,69596.94681533656,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_007,0.17500000000000002,385.43305023677704,16.059710426532376,0.9780323005980714,14.487106465554945,18.34327504084975,0.5169208464086591,True,Optimal,69936.23524213053,69596.23524213053,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_008,0.2,385.433050236777,16.059710426532376,0.9503617758935904,14.506108902098596,18.27462939756983,0.5047368912553133,True,Optimal,69935.73383725608,69595.73383725608,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_009,0.225,385.433050236777,16.059710426532373,0.9229931429470852,14.52511133864225,18.205983754289907,0.492617528389971,True,Optimal,69935.35193007257,69595.35193007257,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_010,0.25,385.43305023677704,16.059710426532376,0.8959540677715099,14.544113775185902,18.137338111009992,0.48067007201011963,True,Optimal,69934.97002292346,69594.97002292346,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_011,0.275,385.433050236777,16.059710426532373,0.8692753038977616,14.56311621172955,18.068692467730067,0.46887915300458444,True,Optimal,69934.58811573108,69594.58811573108,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_012,0.30000000000000004,385.433050236777,16.059710426532373,0.8429910611376815,14.582118648273203,18.00004682445015,0.45708823399904913,True,Optimal,69934.2435212408,69594.2435212408,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_013,0.325,385.433050236777,16.059710426532373,0.8171394110742539,14.601121084816857,17.931401181170227,0.44529731499351377,True,Optimal,69934.0144997232,69594.0144997232,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_014,0.35000000000000003,385.43305023677704,16.059710426532376,0.7917627282745638,14.62012352136051,17.862755537890312,0.43387319144268643,True,Optimal,69933.78547826775,69593.78547826775,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_015,0.375,385.433050236777,16.059710426532373,0.7669081636154594,14.63912595790416,17.794109894610386,0.422484743332679,True,Optimal,69933.6132536615,69593.6132536615,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_016,0.4,385.433050236777,16.059710426532376,0.7426281423004043,14.658128394447811,17.725464251330468,0.41109629522267205,True,Optimal,69933.47137753178,69593.47137753178,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_017,0.42500000000000004,385.4330502367769,16.059710426532373,0.7189808737611296,14.67713083099146,17.656818608050543,0.40122128111225686,True,Optimal,69933.3334388489,69593.3334388489,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_018,0.45,385.433050236777,16.059710426532373,0.6960308532768821,14.696133267535116,17.588172964770628,0.39249736091074794,True,Optimal,69933.3117299313,69593.3117299313,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_019,0.47500000000000003,385.433050236777,16.059710426532373,0.6738493254234409,14.715135704078765,17.519527321490706,0.3846086965359199,True,Optimal,69933.29002102252,69593.29002102252,340.0,0,222222222222222222222222222222222222222222222222
arithmetic,arithmetic_020,0.5,385.43305023677704,16.059710426532376,0.6525146671264679,14.73413814062242,17.450881678210788,0.3772798760800207,True,Optimal,69933.26831212228,69593.26831212228,340.0,0,222222222222222222222222222222222222222222222222
