case_name,node_index,time_h,time_utc,lat,lon,speed_out_kts,speed_over_ground_kts,speed_through_water_kts,heading_out_deg,outgoing_phase,outgoing_speed_sog_kts,outgoing_speed_stw_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG1_StartFuel_kg,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG2_StartFuel_kg,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG3_StartFuel_kg,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh,milp_DG4_StartFuel_kg,milp_StartFuel_kg,milp_FuelWithStart_kg,milp_ESS_N1_reserve_MW,milp_N1_largest_output_MW,milp_N1_min_margin_MW
case3_ga_integrated,0,0.0,2025-03-25T06:00:00+00:00,31.0,122.0,18.76447845485485,18.76447845485485,18.63458419938875,59.69257147161935,departure,18.76447845485485,18.63458419938875,7.470274097630386,173.48364000395765,0.06796815442788413,49.1616191030969,0.6213138699531555,3.343048095703125,165.59393428700443,14.522717160296637,2.5,17.022717160296637,1535.3016644075751,17.0227171603,0.0,0.0,0.7,9.18,1,1,1654.03837755,170.0,7.842717160300001,1,1,1416.5649512651505,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,340.0,1875.3016644075751,8.5,9.18,2.2772828397
case3_ga_integrated,1,0.5,2025-03-25T06:30:00+00:00,31.078762055580146,122.15751904635945,18.536663124594114,18.536663124594114,18.38657421860757,59.67148004185808,cruising,18.536663124594114,18.38657421860757,8.023550743939065,172.84943185742705,0.0898607458736058,28.903322896818693,0.6213138699531555,3.343048095703125,165.59393428700443,13.847277115207481,3.5,17.347277115207483,1564.1191898542675,17.3472771152,0.0,0.0,0.7,9.18,1,0,1654.03837755,0.0,8.167277115200001,1,0,1474.200002158535,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1564.1191898542675,8.5,9.18,1.9527228848
case3_ga_integrated,2,1.0,2025-03-25T07:00:00+00:00,31.156617829976152,122.31321986194304,17.580373123735242,17.580373123735242,17.313906859287332,58.01696376320448,cruising,17.580373123735242,17.313906859287332,8.40993571236675,172.67722267127783,0.15252999708999485,32.00746904061436,0.7756107449531555,3.583038330078125,169.83612314934834,11.386900186700615,3.5,14.886900186700615,1483.7661322415634,16.442293625097804,0.0,1.555393438397806,0.7738811883238957,7.5600000000000005,1,0,1366.3603044,0.0,8.882293625097805,1,0,1601.1719600831266,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1483.7661322415634,8.5,8.882293625097805,2.857706374902195
case3_ga_integrated,3,1.5,2025-03-25T07:30:00+00:00,31.234082080872707,122.45845119821283,19.205334025690348,19.205334025690348,18.679091201258824,52.00191443512407,cruising,19.205334025690348,18.679091201258824,8.55677271790957,172.97768219238105,0.303725068449767,25.044098087450053,0.7756107449531555,3.583038330078125,169.83612314934834,14.642146181687165,3.5,18.142146181687167,1634.695239686755,18.1421461817,0.0,0.0,0.7738811883238957,9.18,1,0,1654.03837755,0.0,8.9621461817,1,0,1615.3521018235099,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1634.695239686755,8.5,9.18,1.1578538183000013
case3_ga_integrated,4,2.0,2025-03-25T08:00:00+00:00,31.332460439380398,122.6060047954562,19.371062703419447,19.371062703419447,18.61907206960847,51.97226548562393,cruising,19.371062703419447,18.61907206960847,8.647527955768554,173.17927120122758,0.4131345368085031,31.426945981701117,0.8508060574531555,4.032257080078125,163.79706138129842,14.490888352920996,3.5,17.990888352920997,1621.265128347855,17.9908883529,0.0,0.0,0.7738811883238957,9.18,1,0,1654.03837755,0.0,8.810888352900001,1,0,1588.4918791457096,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1621.265128347855,8.5,9.18,1.3091116471
case3_ga_integrated,5,2.5,2025-03-25T08:30:00+00:00,31.431752506399963,122.7549288317071,18.78125662286891,18.78125662286891,17.89221346225405,54.831250709292995,cruising,18.78125662286891,17.89221346225405,8.724357120092895,173.5810882578814,0.4575479729996454,53.20164572321986,0.9750736355781555,4.363800048828125,167.750184102552,12.711544301326372,3.5,16.21154430132637,1463.2780085221748,16.2115443013,0.0,0.0,0.7738811883238957,7.5600000000000005,1,0,1366.3603044,0.0,8.651544301299998,1,0,1560.1957126443494,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1463.2780085221748,8.5,8.651544301299998,3.0884556987000025
case3_ga_integrated,6,3.0,2025-03-25T09:00:00+00:00,31.521752338213414,122.9049152593462,19.424348708420958,19.424348708420958,18.570300811507767,59.55143779866524,cruising,19.424348708420958,18.570300811507767,8.691693229468344,173.89675829123985,0.46255259249031944,77.7721359025813,0.9750736355781555,4.363800048828125,167.750184102552,14.351523571496143,3.5,17.851523571496145,1608.8909950830018,17.8515235715,0.0,0.0,0.7738811883238957,9.18,1,0,1654.03837755,0.0,8.6715235715,1,0,1563.7436126160037,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1608.8909950830018,8.5,9.18,1.4484764285000011
case3_ga_integrated,7,3.5,2025-03-25T09:30:00+00:00,31.60362257631034,123.0686492314208,18.967948835030356,18.967948835030356,18.402788574976988,59.5298459526365,cruising,18.967948835030356,18.402788574976988,8.572634228378716,173.63126914121787,0.3200195222923857,84.2285811783762,0.9750736355781555,4.363800048828125,167.750184102552,13.931399793943745,3.5,17.431399793943747,1571.588402853228,17.4313997939,0.0,0.0,0.7738811883238957,9.18,1,0,1654.03837755,0.0,8.2513997939,1,0,1489.138428156456,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1571.588402853228,8.5,9.18,1.8686002061000018
case3_ga_integrated,8,4.0,2025-03-25T10:00:00+00:00,31.683622601174857,123.22863823833436,18.955798710910084,18.955798710910084,18.639359832727244,59.50817661881193,cruising,18.955798710910084,18.639359832727244,8.414626775127072,172.91623197223936,0.16342650060331204,54.450060732987716,0.9750736355781555,4.363800048828125,167.750184102552,14.547700180804751,3.5,18.047700180804753,1626.3094237745217,18.0477001808,0.0,0.0,0.7738811883238957,9.18,1,0,1654.03837755,0.0,8.8677001808,1,0,1598.5804699990435,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1626.3094237745217,8.5,9.18,1.252299819200001
case3_ga_integrated,9,4.5,2025-03-25T10:30:00+00:00,31.763622628959666,123.38862720890629,18.943623819528067,18.943623819528067,18.59244314370015,59.48643206288649,cruising,18.943623819528067,18.59244314370015,8.25532891396068,171.76158857611028,0.19296741682597532,80.05788846436548,0.9272220730781555,4.676300048828124,169.00799053365623,14.415706148320186,3.5,17.915706148320186,1614.5897358310347,17.9157061483,0.0,0.0,0.7738811883238957,9.18,1,0,1654.03837755,0.0,8.7357061483,1,0,1575.1410941120694,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1614.5897358310347,8.5,9.18,1.3842938517000007
