case_name,segment,phase,when_utc,dt_h,distance_nm,node_from_lat,node_from_lon,node_to_lat,node_to_lon,heading_deg,encounter_angle_deg,speed_sog_kts,speed_stw_kts,speed_stw_power_kts,current_component_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,PD_kW,BHP_kW,total_resistance_N,R_calm_N,R_wind_N,R_wave_N,relative_wind_speed_ms,relative_wind_dir_deg,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG1_StartFuel_kg,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG2_StartFuel_kg,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG3_StartFuel_kg,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh,milp_DG4_StartFuel_kg,milp_StartFuel_kg,milp_FuelWithStart_kg,milp_ESS_N1_reserve_MW,milp_N1_largest_output_MW,milp_N1_min_margin_MW
case3_ga_integrated,1,departure,2025-03-25T06:00:00+00:00,0.5,9.382239227,31,122,31.07876206,122.157519,59.69257147,314.1678501,18.76447845,18.6345842,18.6345842,0.129894255,7.470274098,173.48364,0.067968154,49.1616191,0.62131387,3.343048096,165.5939343,14.52271716,2.5,17.02271716,14232.26282,14522.71716,1020052.054,1033309.14,-15751.74873,2494.662601,9.529420407,45.83214985,1535.301664,17.02271716,0,0,0.7,9.18,1,1,1654.038378,170,7.84271716,1,1,1416.564951,170,0,0,0,0,0,0,0,0,0,0,340,1875.301664,8.5,9.18,2.27728284
case3_ga_integrated,2,cruising,2025-03-25T06:30:00+00:00,0.5,9.268331562,31.07876206,122.157519,31.15661783,122.3132199,59.67148004,310.8505091,18.53666312,18.38657422,18.38657422,0.150088906,8.023550744,172.8494319,0.089860746,28.9033229,0.62131387,3.343048096,165.5939343,13.84727712,3.5,17.34727712,13570.33157,13847.27712,986282.4328,1002279.021,-18459.11008,2462.521883,9.751139726,49.14949091,1564.11919,17.34727712,0,0,0.7,9.18,1,0,1654.038378,0,8.167277115,1,0,1474.200002,0,0,0,0,0,0,0,0,0,0,0,0,1564.11919,8.5,9.18,1.952722885
case3_ga_integrated,3,cruising,2025-03-25T07:00:00+00:00,0.5,8.790186562,31.15661783,122.3132199,31.23408208,122.4584512,58.01696376,305.9129016,17.58037312,17.31390686,17.31390686,0.266466264,8.409935712,172.6772227,0.152529997,32.00746904,0.775610745,3.58303833,169.8361231,11.38690019,3.5,14.88690019,11159.16218,11386.90019,862314.3533,877612.4124,-20028.47205,4730.412975,9.43677073,54.08709838,1483.766132,16.44229363,0,1.555393438,0.773881188,7.56,1,0,1366.360304,0,8.882293625,1,0,1601.17196,0,0,0,0,0,0,0,0,0,0,0,0,1483.766132,8.5,8.882293625,2.857706375
case3_ga_integrated,4,cruising,2025-03-25T07:30:00+00:00,0.5,9.602667013,31.23408208,122.4584512,31.33246044,122.6060048,52.00191444,306.7385727,19.20533403,18.6790912,18.6790912,0.526242824,8.556772718,172.9776822,0.303725068,25.04409809,0.775610745,3.58303833,169.8361231,14.64214618,3.5,18.14214618,14349.30326,14642.14618,1025908.962,1038972.75,-18418.36985,5354.582021,9.154847776,53.2614273,1634.69524,18.14214618,0,0,0.773881188,9.18,1,0,1654.038378,0,8.962146182,1,0,1615.352102,0,0,0,0,0,0,0,0,0,0,0,0,1634.69524,8.5,9.18,1.157853818
case3_ga_integrated,5,cruising,2025-03-25T08:00:00+00:00,0.5,9.685531352,31.33246044,122.6060048,31.43175251,122.7549288,51.97226549,306.5592273,19.3710627,18.61907207,18.61907207,0.751990634,8.647527956,173.1792712,0.413134537,31.42694598,0.850806057,4.03225708,163.7970614,14.49088835,3.5,17.99088835,14201.07059,14490.88835,1018643.051,1031342.092,-18727.58222,6028.541497,9.207987931,53.44077272,1621.265128,17.99088835,0,0,0.773881188,9.18,1,0,1654.038378,0,8.810888353,1,0,1588.491879,0,0,0,0,0,0,0,0,0,0,0,0,1621.265128,8.5,9.18,1.309111647
case3_ga_integrated,6,cruising,2025-03-25T08:30:00+00:00,0.5,9.390628311,31.43175251,122.7549288,31.52175234,122.9049153,54.83125071,305.5481739,18.78125662,17.89221346,17.89221346,0.889043161,8.72435712,173.5810883,0.457547973,53.20164572,0.975073636,4.363800049,167.7501841,12.7115443,3.5,16.2115443,12457.31342,12711.5443,930699.6074,942975.8548,-20077.72011,7801.472776,9.400977842,54.45182615,1463.278009,16.2115443,0,0,0.773881188,7.56,1,0,1366.360304,0,8.651544301,1,0,1560.195713,0,0,0,0,0,0,0,0,0,0,0,0,1463.278009,8.5,8.651544301,3.088455699
case3_ga_integrated,7,cruising,2025-03-25T09:00:00+00:00,0.5,9.712174354,31.52175234,122.9049153,31.60362258,123.0686492,59.5514378,308.9877429,19.42434871,18.57030081,18.57030081,0.854047897,8.691693229,173.8967583,0.462552592,77.7721359,0.975073636,4.363800049,167.7501841,14.35152357,3.5,17.85152357,14064.4931,14351.52357,1011632.405,1025180.629,-21354.43328,7806.209537,10.18783475,51.01225711,1608.890995,17.85152357,0,0,0.773881188,9.18,1,0,1654.038378,0,8.671523572,1,0,1563.743613,0,0,0,0,0,0,0,0,0,0,0,0,1608.890995,8.5,9.18,1.448476429
case3_ga_integrated,8,cruising,2025-03-25T09:30:00+00:00,0.5,9.483974418,31.60362258,123.0686492,31.6836226,123.2286382,59.52984595,308.6465915,18.96794884,18.40278857,18.40278857,0.56516026,8.572634228,173.6312691,0.320019522,84.22858118,0.975073636,4.363800049,167.7501841,13.93139979,3.5,17.43139979,13652.7718,13931.39979,991152.7611,1004280.761,-20867.74814,7739.748346,10.01943329,51.35340851,1571.588403,17.43139979,0,0,0.773881188,9.18,1,0,1654.038378,0,8.251399794,1,0,1489.138428,0,0,0,0,0,0,0,0,0,0,0,0,1571.588403,8.5,9.18,1.868600206
case3_ga_integrated,9,cruising,2025-03-25T10:00:00+00:00,0.5,9.477899355,31.6836226,123.2286382,31.76362263,123.3886272,59.50817662,309.690138,18.95579871,18.63935983,18.63935983,0.316438878,8.414626775,172.916232,0.163426501,54.45006073,0.975073636,4.363800049,167.7501841,14.54770018,3.5,18.04770018,14256.74618,14547.70018,1021473.726,1033915.44,-20278.05114,7836.336962,10.03508446,50.30986197,1626.309424,18.04770018,0,0,0.773881188,9.18,1,0,1654.038378,0,8.867700181,1,0,1598.58047,0,0,0,0,0,0,0,0,0,0,0,0,1626.309424,8.5,9.18,1.252299819
case3_ga_integrated,10,cruising,2025-03-25T10:30:00+00:00,0.5,9.47181191,31.76362263,123.3886272,31.84362266,123.5486161,59.48643206,310.8951521,18.94362382,18.59244314,18.59244314,0.351180676,8.255328914,171.7615886,0.192967417,80.05788846,0.927222073,4.676300049,169.0079905,14.41570615,3.5,17.91570615,14127.39203,14415.70615,1014878.924,1027973.628,-19798.93157,6704.227285,10.10607024,49.10484791,1614.589736,17.91570615,0,0,0.773881188,9.18,1,0,1654.038378,0,8.735706148,1,0,1575.141094,0,0,0,0,0,0,0,0,0,0,0,0,1614.589736,8.5,9.18,1.384293852
case3_ga_integrated,11,cruising,2025-03-25T11:00:00+00:00,0.5,9.269695998,31.84362266,123.5486161,31.92196808,123.7052892,59.46461086,311.626294,18.539392,18.4031372,18.4031372,0.1362548,8.032956325,170.3983512,0.072154251,45.74472684,0.927222073,4.676300049,169.0079905,13.94284601,3.5,17.44284601,13663.98909,13942.84601,991893.0878,1004323.841,-19070.90923,6640.156507,10.0371932,48.37370596,1572.604707,17.44284601,0,0,0.773881188,9.18,1,0,1654.038378,0,8.262846007,1,0,1491.171036,0,0,0,0,0,0,0,0,0,0,0,0,1572.604707,8.5,9.18,1.857153993
case3_ga_integrated,12,cruising,2025-03-25T11:30:00+00:00,0.5,9.288814549,31.92196808,123.7052892,32.00052555,123.8623843,59.44271282,313.1327128,18.5776291,18.51551843,18.51551843,0.06211067,7.839120651,169.1467761,0.054507702,5.330583359,0.927222073,4.676300049,169.0079905,14.23868557,3.5,17.73868557,13953.91186,14238.68557,1006581.345,1018301.183,-18399.52823,6679.690072,10.1129028,46.86728725,1598.872162,17.73868557,0,0,0.773881188,9.18,1,0,1654.038378,0,8.558685568,1,0,1543.705946,0,0,0,0,0,0,0,0,0,0,0,0,1598.872162,8.5,9.18,1.561314432
case3_ga_integrated,13,cruising,2025-03-25T12:00:00+00:00,0.5,8.108009883,32.00052555,123.8623843,32.07601949,123.9944712,55.97564449,306.8092155,16.21601977,16.12151326,16.12151326,0.094506506,7.755110737,168.6235883,0.063532018,15.90548241,0.935522854,4.72756958,172.1251798,9.141687209,3.5,12.64168721,8958.853464,9141.687209,743864.863,755136.7409,-17526.01379,6254.135836,8.939280739,53.19078449,1141.009273,12.64168721,0,0,0.773881188,0,0,0,0,0,0,0,0,0,0,5.88,1,1,1062.724681,120,6.761687209,1,1,1219.293865,120,240,1381.009273,8.5,6.761687209,4.258312791
case3_ga_integrated,14,cruising,2025-03-25T12:30:00+00:00,0.5,8.587258622,32.07601949,123.9944712,32.15601954,124.1344498,55.95230622,310.1941245,17.17451724,17.08158395,17.08158395,0.09293329,7.591636952,168.5061599,0.079655872,2.83609637,0.935522854,4.72756958,172.1251798,10.97765401,3.5,14.47765401,10758.10093,10977.65401,842409.205,852499.4539,-16698.95461,6608.705691,9.178388594,49.80587554,1286.474294,14.28,0.197654012,0,0.763692837,0,0,0,0,0,0,0,0,0,0,7.14,1,0,1286.474294,0,7.14,1,0,1286.474294,0,0,1286.474294,8.302345988,7.14,2.422345988
case3_ga_integrated,15,cruising,2025-03-25T13:00:00+00:00,0.5,8.317510298,32.15601954,124.1344498,32.23355532,124.2701095,55.92904912,309.7894449,16.6350206,16.41815989,16.41815989,0.216860704,7.38465052,169.0720675,0.112622927,48.06099172,0.935522854,4.72756958,172.1251798,9.701278141,3.5,13.20127814,9507.252578,9701.278141,774854.4975,784166.1788,-15676.87431,6365.193023,8.837025536,50.21055508,1190.695088,13.20127814,0,0,0.763692837,0,0,0,0,0,0,0,0,0,0,7.14,1,0,1286.474294,0,6.061278141,1,0,1094.915883,0,0,1190.695088,8.5,7.14,3.698721859
case3_ga_integrated,16,cruising,2025-03-25T13:30:00+00:00,0.5,8.598834191,32.23355532,124.2701095,32.31375952,124.4104428,55.90555109,311.6115303,17.19766838,17.01269331,17.01269331,0.18497507,7.251975131,170.095805,0.096199462,47.47238325,0.940649807,4.769805908,175.8361171,10.86717088,3.5,14.36717088,10649.82746,10867.17088,837192.0354,845174.0828,-14826.11836,6844.070941,8.847789713,48.38846975,1286.474294,14.28,0.087170882,0,0.759199493,0,0,0,0,0,0,0,0,0,0,7.14,1,0,1286.474294,0,7.14,1,0,1286.474294,0,0,1286.474294,8.412829118,7.14,2.532829118
case3_ga_integrated,17,cruising,2025-03-25T14:00:00+00:00,0.5,8.289386785,32.31375952,124.4104428,32.39112695,124.5458039,55.8819729,311.9203433,16.57877357,16.73922993,16.73922993,-0.160456356,6.882454694,171.1921082,0.083332619,243.7616273,0.887183011,4.959259033,175.6642421,10.33392564,3.5,13.83392564,10127.24713,10333.92564,809235.8535,816628.8932,-13107.48804,5714.448317,8.361780702,48.07965673,1246.867561,13.83392564,0,0,0.759199493,0,0,0,0,0,0,0,0,0,0,7.14,1,0,1286.474294,0,6.69392564,1,0,1207.260829,0,0,1246.867561,8.5,7.14,3.06607436
case3_ga_integrated,18,cruising,2025-03-25T14:30:00+00:00,0.5,8.566481396,32.39112695,124.5458039,32.47109571,124.6857997,55.87332707,315.3547471,17.13296279,17.26293294,17.26293294,-0.129970148,6.515047019,172.4480963,0.093463894,191.5478197,0.887183011,4.959259033,175.6642421,11.41973696,3.5,14.91973696,11191.34222,11419.73696,866627.3081,872047.7043,-11305.78173,5885.385595,8.291753093,44.64525287,1286.474294,14.28,0.639736959,0,0.726223361,0,0,0,0,0,0,0,0,0,0,7.14,1,0,1286.474294,0,7.14,1,0,1286.474294,0,0,1286.474294,7.860263041,7.14,1.980263041
case3_ga_integrated,19,cruising,2025-03-25T15:00:00+00:00,0.5,8.689786992,32.47109571,124.6857997,32.55237647,124.8278084,55.79573488,318.0223078,17.37957398,17.14554147,17.14554147,0.234032513,6.154203721,174.1079083,0.159890349,96.94525655,0.887183011,4.959259033,175.6642421,11.2082501,3.5,14.7082501,10984.0851,11208.2501,856300.2931,859349.5845,-8899.57391,5850.282566,8.100602729,41.97769224,1286.474294,14.28,0.4282501,0,0.704148613,0,0,0,0,0,0,0,0,0,0,7.14,1,0,1286.474294,0,7.14,1,0,1286.474294,0,0,1286.474294,8.0717499,7.14,2.1917499
case3_ga_integrated,20,cruising,2025-03-25T15:30:00+00:00,0.5,8.608502149,32.55237647,124.8278084,32.63294675,124.9685754,55.77192243,321.1294904,17.2170043,16.84582312,16.84582312,0.371181179,5.636247311,175.1108576,0.200889744,73.86910525,0.909399807,4.940216064,180.3204911,10.64508667,3.5,14.14508667,10432.18494,10645.08667,827685.6114,827655.3789,-6255.782718,6286.015149,7.829217465,38.87050963,1274.495403,14.14508667,0,0,0.704148613,0,0,0,0,0,0,0,0,0,0,7.14,1,0,1286.474294,0,7.005086671,1,0,1262.516512,0,0,1274.495403,8.5,7.14,2.75491333
case3_ga_integrated,21,cruising,2025-03-25T16:00:00+00:00,0.5,8.575370533,32.63294675,124.9685754,32.71325629,125.108887,55.74802171,325.464003,17.15074107,17.00131367,17.00131367,0.149427392,5.017622941,175.764933,0.078940906,42.60160525,0.909399807,4.940216064,180.3204911,10.99920397,3.5,14.49920397,10779.21989,10999.20397,847068.4015,843969.3142,-3243.843242,6342.930585,7.663547575,34.53599703,1286.474294,14.28000001,0.21920396,0,0.69284944,0,0,0,0,0,4.74E-08,0,0,8.54E-06,0,7.14,1,0,1286.474294,0,7.139999962,1,0,1286.474287,0,0,1286.474294,8.28079604,7.14,2.400796031
case3_ga_integrated,22,cruising,2025-03-25T16:30:00+00:00,0.5,8.545544253,32.71325629,125.108887,32.79333582,125.2487964,55.72403989,330.0389955,17.09108851,17.06997593,17.06997593,0.021112578,4.391181417,176.1754778,0.084389898,333.1186942,0.909399807,4.940216064,180.3204911,11.18029608,3.5,14.68029608,10956.69016,11180.29608,857281.1748,851261.288,-348.7633277,6368.650199,7.579852287,29.96100445,1286.474294,14.28,0.400296074,0,0.672215622,5.71E-09,0,0,1.03E-06,0,3.47E-08,0,0,6.26E-06,0,7.14,1,0,1286.474294,0,7.139999962,1,0,1286.474287,0,0,1286.474294,8.099703926,7.14,2.219703923
case3_ga_integrated,23,cruising,2025-03-25T17:00:00+00:00,0.5,8.540285149,32.79333582,125.2487964,32.87341527,125.3887059,55.69997678,333.7002396,17.0805703,17.12185117,17.12185117,-0.041280873,3.906505608,176.7242487,0.101752699,313.6532735,0.865698636,5.119171143,179.8283077,11.28774441,3.5,14.78774441,11061.98953,11287.74441,862864.6978,856806.6849,521.8851968,5536.127728,7.555680947,26.29976044,1286.474294,14.28000001,0.507744409,0,0.64604323,5.71E-09,0,0,1.03E-06,0,0,0,0,0,0,7.14,1,0,1286.474294,0,7.14,1,0,1286.474294,0,0,1286.474294,7.992255591,7.14,2.112255586
case3_ga_integrated,24,cruising,2025-03-25T17:30:00+00:00,0.5,9.473333774,32.87341527,125.3887059,32.96943815,125.5378566,52.47277958,338.9369337,18.94666755,18.98702267,18.98702267,-0.040355121,3.602989469,177.0639119,0.097851694,310.2236754,0.887671292,5.075469971,184.8908032,15.81739584,3.5,19.31739584,15501.04792,15817.39584,1087984.605,1078982.411,2104.597796,6897.595888,8.252940346,21.06306628,1745.904834,19.32,0,0.002604164,0.646166928,7.560000004,1,1,1366.360305,170,0,0,0,0,0,5.88,1,0,1062.724681,0,5.88,1,0,1062.724681,0,170,1915.904834,8.5,7.560000004,5.979999996
case3_ga_integrated,25,cruising,2025-03-25T18:00:00+00:00,0.5,9.49569633,32.96943815,125.5378566,33.06795749,125.6854085,51.42947031,340.9560921,18.99139266,18.98560192,18.98560192,0.005790738,3.321256464,176.7658641,0.0703961,323.8548279,0.887671292,5.075469971,184.8908032,15.82365472,3.5,19.32365472,15507.18163,15823.65472,1088446.146,1078794.427,2708.916378,6942.802063,8.30353572,19.04390788,1746.229334,19.32365472,0,0,0.646166928,7.56,1,0,1366.360304,0,0,0,0,0,0,5.88,1,0,1062.724681,0,5.883654722,1,0,1063.373683,0,0,1746.229334,8.5,7.56,5.976345278
