t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
25,0.5,16.395538327701157,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.215538327699999,1,0,779.6963269691508,3.88,10.08,4.284461672300003
26,0.5,16.401394113686408,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.221394113700001,1,0,780.692056400408,3.88,10.08,4.278605886300001
27,0.5,15.713181921240475,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.5331819212,1,0,663.6670942480971,3.88,10.08,4.966818078800001
28,0.5,15.032572851423257,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,2.8525728513999993,1,0,547.9349821148694,3.88,10.08,5.6474271486
29,0.5,15.26038485856828,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.0803848586,1,0,586.672586317402,3.88,10.08,5.4196151414
30,0.5,16.610913233647572,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.430913233600002,1,0,816.3191018722637,3.88,10.08,4.0690867664
31,0.5,16.33593446052705,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.155934460499999,1,0,769.5611675238156,3.88,10.08,4.3440655395000025
32,0.5,16.803052889723162,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.6230528896999985,1,0,848.990908951677,3.88,10.08,3.8769471103000033
33,0.5,16.93563092965833,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.755630929700001,1,0,871.5347410463517,3.88,10.08,3.744369070300001
34,0.5,16.971500018524907,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.791500018499999,1,0,877.6339918370264,3.88,10.08,3.708499981500003
