t,dt_h,P_req_MW,speed_sog_kts
0,0.5,14.385555211027285,17.843078939565608
1,0.5,15.656799845366816,18.0029559371471
2,0.5,15.392728357136589,17.915564087759147
3,0.5,15.483998541283519,18.181965789007293
4,0.5,15.373388561765752,18.560715215482325
5,0.5,14.973065016111047,18.63252585308128
6,0.5,15.537082871121804,18.912599007950313
7,0.5,15.61486475664228,18.68510070570429
8,0.5,16.123895942571764,18.446334845121665
9,0.5,15.511859718764901,18.280185847040556
10,0.5,16.269238267441686,18.309884465492345
11,0.5,16.298130707708026,18.196927946638752
12,0.5,16.744481190820636,18.38387435448204
13,0.5,16.026116705963965,18.160933000539657
14,0.5,15.787737248131993,18.053176016002066
15,0.5,16.063304488116657,18.040008660380735
16,0.5,16.15257244026806,18.12729285865936
17,0.5,15.879391268824385,17.97547401695256
18,0.5,16.082454152231207,18.07953262325941
19,0.5,16.077968812612383,17.955376574259517
20,0.5,16.116622231291256,17.95431606907288
21,0.5,16.239247310026677,18.00237274242577
22,0.5,15.86215002327091,17.788540817656237
23,0.5,16.57026025965647,18.100283820050972
24,0.5,16.26583162191052,17.994793716721457
25,0.5,16.395538327701157,18.10622591582134
26,0.5,16.401394113686408,18.138884046490137
27,0.5,15.713181921240475,17.74641714291582
28,0.5,15.032572851423257,17.51046003045015
29,0.5,15.26038485856828,17.688103903617137
30,0.5,16.610913233647572,18.148333680191
31,0.5,16.33593446052705,18.11944994627444
32,0.5,16.803052889723162,18.07187658560211
33,0.5,16.93563092965833,17.843607256313593
34,0.5,16.971500018524907,17.993872899588382
35,0.5,16.50201175696901,17.83654248640123
36,0.5,16.42302358353089,18.084826117659105
37,0.5,16.46162649926532,18.26622823526361
38,0.5,16.20709708891185,18.208522571714816
39,0.5,16.037770833203187,18.104023151345245
40,0.5,16.4493885452669,18.193337708033823
41,0.5,16.478561662297302,18.128319854425023
42,0.5,16.444109995506835,18.20244174957016
43,0.5,16.589225221835395,18.1657507131764
44,0.5,16.415669077201635,18.06989058954825
45,0.5,16.414147305975014,18.22234894563986
46,0.5,16.380432877327983,18.214797574103443
47,0.5,15.114186871495455,18.180402282093507
