case_name,t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh
case3_ga_integrated,25,0.5,20.228500845976274,0.0,0.0,0.6415318112733462,0.0,0,0,0.0,7.988500845999998,1,0,1442.4530807706321,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,26,0.5,21.13012987607107,0.0,0.0,0.6415318112733462,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,5.8301298761,1,0,1051.2173883004298
case3_ga_integrated,27,0.5,22.304041643049327,0.8840416430000015,0.0,0.5959626544176561,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,28,0.5,22.764633369312943,1.3446333693000003,0.0,0.5266516560000998,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,29,0.5,22.703843092301412,1.2838430923000015,0.0,0.46047417701553445,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,30,0.5,22.637935698358667,1.2179356983999998,0.0,0.3976939863763316,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,31,0.5,22.331953659416197,0.9119536594,0.0,0.35068606578868206,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,32,0.5,20.793854995000366,0.0,0.0,0.35068606578868206,0.0,0,0,0.0,8.553854994999998,1,0,1542.848137703767,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,33,0.5,20.081410491909025,0.0,0.0,0.35068606578868206,0.0,0,0,0.0,7.8414104919000005,1,0,1416.3329143222134,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,34,0.5,19.339777374916444,0.0,0.0,0.35068606578868206,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,6.12,1,0,1102.6922517,5.659777374899998,1,0,1020.9663516945659
case3_ga_integrated,35,0.5,19.060068715316355,0.0,0.0,0.35068606578868206,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,6.12,1,0,1102.6922517,5.380068715300001,1,0,971.29595154821
case3_ga_integrated,36,0.5,19.21315326995424,0.0,0.0,0.35068606578868206,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,6.12,1,0,1102.6922517,5.533153269999999,1,0,998.4805624896428
case3_ga_integrated,37,0.5,19.028437509719122,0.0,0.0,0.35068606578868206,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,6.12,1,0,1102.6922517,5.348437509700001,1,0,965.6789118701734
case3_ga_integrated,38,0.5,18.969758448011163,0.0,0.0,0.35068606578868206,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,6.12,1,0,1102.6922517,5.289758448,1,0,955.2587393985028
case3_ga_integrated,39,0.5,19.582904136522977,0.0,0.0,0.35068606578868206,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,6.12,1,0,1102.6922517,5.902904136500001,1,0,1064.1405728725215
case3_ga_integrated,40,0.5,19.75402395124808,0.0,0.0,0.35068606578868206,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,6.12,1,0,1102.6922517,6.0740239512,1,0,1094.527868286522
case3_ga_integrated,41,0.5,19.90282859376108,0.0,0.0,0.35068606578868206,0.0,0,0,0.0,7.662828593799998,1,0,1384.6205091710538,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,42,0.5,21.553282633095666,0.13328263310000033,0.0,0.3438158269690914,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,43,0.5,22.270027043214608,0.850027043199999,0.0,0.3,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,44,0.5,21.17730752625613,0.0,0.0,0.3,0.0,0,0,0.0,9.18,1,0,1654.03837755,6.12,1,0,1102.6922517,5.877307526300002,1,0,1059.595150958011
case3_ga_integrated,45,0.5,19.875244211978927,0.0,0.0,0.3,0.0,0,0,0.0,7.635244211999997,1,0,1379.7221006492896,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,46,0.5,19.22484338095182,0.0,0.0,0.3,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,6.12,1,0,1102.6922517,5.544843380999999,1,0,1000.5564813830933
case3_ga_integrated,47,0.5,18.243449813501172,0.0,0.0,0.3,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,5.643449813499999,1,0,1018.0669187298807
