case_name,segment,phase,when_utc,dt_h,distance_nm,node_from_lat,node_from_lon,node_to_lat,node_to_lon,heading_deg,encounter_angle_deg,speed_sog_kts,speed_stw_kts,speed_stw_power_kts,current_component_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,PD_kW,BHP_kW,total_resistance_N,R_calm_N,R_wind_N,R_wave_N,relative_wind_speed_ms,relative_wind_dir_deg,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh
case3_ga_integrated,0,departure,2025-03-25T06:00:00+00:00,0.5,8.749999999999922,34.95,129.15,34.87484586722764,128.997734173298,238.9999999999991,357.7947980711204,17.499999999999844,17.860119906753074,17.860119906753074,-0.3601199067532316,0.346811493980437,333.9507925286462,0.2008710985327856,36.26328266282818,0.4931400418281556,4.593048095703125,190.1486147224636,12.380891650789609,2.5,14.880891650789609,12133.273817773816,12380.891650789608,939902.992389521,939238.0990049685,664.8933845524053,0.0,8.979490084900156,2.2052019288795974,1102.6922517,12.24,2.6408916508000013,0.0,0.5638715643916925,0.0,0,0,0.0,0.0,0,0,0.0,6.12,1,1,1102.6922517,6.12,1,1,1102.6922517
case3_ga_integrated,1,cruising,2025-03-25T06:30:00+00:00,0.5,8.242593069080769,34.87484586722764,128.997734173298,34.8075010788446,128.85197405219358,240.66485444830812,358.5305101153994,16.485186138161538,16.699426215149284,16.699426215149284,-0.21424007698774752,0.21752155635162032,331.0767816930264,0.11986528259028525,37.5159970833098,0.4931400418281555,4.593048095703125,190.1486147224636,9.981266124527169,3.5,13.481266124527169,9781.640802036625,9981.266124527168,812939.0411859341,812543.7143065063,395.32687942775505,0.0,8.48193075880308,1.4694898846005917,1102.6922517,12.24,1.2412661244999992,0.0,0.499888774468984,0.0,0,0,0.0,0.0,0,0,0.0,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,2,cruising,2025-03-25T07:00:00+00:00,0.5,6.633149425521259,34.8075010788446,128.85197405219358,34.74513473898239,128.74095283478852,235.66314692539135,356.6979134835874,13.266298851042517,13.416456703399447,13.416456703399447,-0.15015785235693055,0.4027689015045609,316.3915541099189,0.127529021070891,2.944341013796304,0.4931400418281555,4.593048095703125,190.1486147224636,5.194753183164065,3.5,8.694753183164064,5090.858119500783,5194.7531831640645,526831.0055941375,526242.9375286582,588.0680654792997,0.0,6.901117553823491,3.3020865164125723,910.9068696,10.08,0.0,1.3852468168400005,0.565687998268884,0.0,0,0,0.0,0.0,0,0,0.0,5.04,1,0,910.9068696,5.04,1,0,910.9068696
case3_ga_integrated,3,cruising,2025-03-25T07:30:00+00:00,0.5,4.827298157300139,34.74513473898239,128.74095283478852,34.700000000000735,128.66000000000392,235.87232193187293,354.6042880365877,9.654596314600278,9.803801082535067,9.803801082535067,-0.14920476793478898,0.4762777351461783,319.96643243283995,0.15466602519679484,355.62644524467424,0.5702884793281555,4.583038330078125,192.10174775674994,2.146370580406325,3.5,5.646370580406325,2103.4431687981983,2146.3705804063247,294916.12903564074,293635.6367966437,512.1286374465142,768.3636015505291,5.038079345440293,5.395711963412298,910.9068696,10.08,0.0,4.43362941959,0.776285395699409,0.0,0,0,0.0,0.0,0,0,0.0,5.04,1,0,910.9068696,5.04,1,0,910.9068696
case3_ga_integrated,4,cruising,2025-03-25T08:00:00+00:00,0.5,11.750625151212665,34.700000000000735,128.66000000000392,34.638736343384515,128.43399673462295,251.82238087976384,358.5138871011601,23.50125030242533,23.580429952087638,23.580429952087638,-0.07917964966230931,0.35048217252952946,316.7694797575925,0.09640140497440361,6.817463545044973,0.5702884793281555,4.583038330078125,192.10174775674994,23.28,3.5,26.78,22814.399999999998,23280.0,1870970.428209257,1868467.9068525813,832.9137388465622,1669.607617829226,12.242608515437654,1.4861128988398933,1964.9905985250002,21.78,5.0,0.0,0.5185534369364091,0.0,0,0,0.0,9.18,1,1,1654.03837755,6.12,1,0,1102.6922517,6.480000000000001,1,0,1173.2505678000002
case3_ga_integrated,5,cruising,2025-03-25T08:30:00+00:00,0.5,9.37075155368436,34.638736343384515,128.43399673462295,34.58876266479564,128.25434051514043,251.37648850921067,358.7129468901953,18.74150310736872,18.666926316179072,18.666926316179072,0.07457679118965055,0.35969599888503717,35.64552120425435,0.06349239297119005,304.2012521229535,0.5702884793281555,4.583038330078125,192.10174775674994,14.356160166428774,3.5,17.856160166428772,14069.036963100198,14356.160166428774,1039204.8678053974,1037421.8159016261,420.9101203062683,1362.1417834649226,9.351823485674695,1.2870531098046862,1613.2797811091773,17.8561601664,0.0,0.0,0.5185534369364091,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,5.256160166399998,1,0,949.2923882183549
case3_ga_integrated,6,cruising,2025-03-25T09:00:00+00:00,0.5,8.550452594860982,34.58876266479564,128.25434051514043,34.532906813622226,128.09526732445127,246.9527787011494,359.86121150985787,17.100905189721963,17.047867362238303,17.047867362238303,0.05303782748365881,0.7386787036629077,65.43840709522476,0.10202973196396435,321.4418621220452,0.5702884793281555,4.583038330078125,192.10174775674994,10.666763272267964,3.5,14.166763272267964,10453.428006822605,10666.763272267965,850165.623626569,848907.4042278008,33.707196744271464,1224.5122020240162,8.059061009627737,0.13878849014214767,1594.0870218,17.64,0.0,3.4732367277,0.6835321815021591,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,5.04,1,0,910.9068696
case3_ga_integrated,7,cruising,2025-03-25T09:30:00+00:00,0.5,8.451547653518197,34.532906813622226,128.09526732445127,34.46484187483858,127.94576047659277,241.12558478710872,3.4137025417687346,16.903095307036395,16.960467943618706,16.960467943618706,-0.05737263658231168,1.238761889342607,82.41943383662186,0.1271329778479958,344.54977317780117,0.5173099637031555,4.568634033203125,184.09393877560407,10.500320496425788,3.5,14.000320496425788,10290.314086497272,10500.320496425787,841285.7709521208,839657.1835825403,728.5921584444286,899.9952111360277,7.554909386313152,3.4137025417687346,1284.6378716708189,14.0003204964,0.0,0.0,0.6835321815021591,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,1.8,1,0,359.9708625,4.6403204964,1,0,842.9445764416378
case3_ga_integrated,8,cruising,2025-03-25T10:00:00+00:00,0.5,8.502974526943643,34.46484187483858,127.94576047659277,34.3900000000007,127.80000000000348,238.13929772916168,6.383927459455578,17.005949053887285,17.066806527667353,17.066806527667353,-0.06085747378006713,1.5907466049724799,89.454213431933,0.06017016377716139,359.49304186922274,0.5173099637031555,4.568634033203125,184.09393877560407,10.719271694959511,3.5,14.219271694959511,10504.886261060321,10719.27169495951,853127.1196986621,850923.4966068796,1319.8738053459597,883.7492864364324,7.4357038494983705,6.383927459455578,1594.0870218,17.64,0.0,3.420728305000001,0.8460167759896592,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,5.04,1,0,910.9068696
case3_ga_integrated,9,cruising,2025-03-25T10:30:00+00:00,0.5,9.338890140835044,34.3900000000007,127.80000000000348,34.379237670899144,127.61197494507174,266.0855255430689,1.4690392068425302,18.67778028167009,18.515913485795814,18.515913485795814,0.16186679587427646,1.797036987116148,92.4953163050586,0.09805116065334805,297.9537278694447,0.5173099637031555,4.568634033203125,184.09393877560407,13.963722858006506,3.5,17.463722858006506,13684.448400846375,13963.722858006506,1019791.0636526943,1018350.6377026404,336.3963545215202,1104.0295955324807,7.825440580682711,1.4690392068425298,1579.099764893136,17.463722858,0.0,0.0,0.8460167759896592,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,4.863722858,1,0,880.9323557862717
