case_name,node_index,time_h,time_utc,lat,lon,speed_out_kts,speed_over_ground_kts,speed_through_water_kts,heading_out_deg,outgoing_phase,outgoing_speed_sog_kts,outgoing_speed_stw_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh
case3_ga_integrated,0,0.0,2025-03-25T06:00:00+00:00,34.95,129.15,17.499999999999844,17.499999999999844,17.860119906753074,238.9999999999991,departure,17.499999999999844,17.860119906753074,0.346811493980437,333.9507925286462,0.2008710985327856,36.26328266282818,0.4931400418281556,4.593048095703125,190.1486147224636,12.380891650789609,2.5,14.880891650789609,1102.6922517,12.24,2.6408916508000013,0.0,0.5638715643916925,0.0,0,0,0.0,0.0,0,0,0.0,6.12,1,1,1102.6922517,6.12,1,1,1102.6922517
case3_ga_integrated,1,0.5,2025-03-25T06:30:00+00:00,34.87484586722764,128.997734173298,16.485186138161538,16.485186138161538,16.699426215149284,240.66485444830812,cruising,16.485186138161538,16.699426215149284,0.21752155635162032,331.0767816930264,0.11986528259028525,37.5159970833098,0.4931400418281555,4.593048095703125,190.1486147224636,9.981266124527169,3.5,13.481266124527169,1102.6922517,12.24,1.2412661244999992,0.0,0.499888774468984,0.0,0,0,0.0,0.0,0,0,0.0,6.12,1,0,1102.6922517,6.12,1,0,1102.6922517
case3_ga_integrated,2,1.0,2025-03-25T07:00:00+00:00,34.8075010788446,128.85197405219358,13.266298851042517,13.266298851042517,13.416456703399447,235.66314692539135,cruising,13.266298851042517,13.416456703399447,0.4027689015045609,316.3915541099189,0.127529021070891,2.944341013796304,0.4931400418281555,4.593048095703125,190.1486147224636,5.194753183164065,3.5,8.694753183164064,910.9068696,10.08,0.0,1.3852468168400005,0.565687998268884,0.0,0,0,0.0,0.0,0,0,0.0,5.04,1,0,910.9068696,5.04,1,0,910.9068696
case3_ga_integrated,3,1.5,2025-03-25T07:30:00+00:00,34.74513473898239,128.74095283478852,9.654596314600278,9.654596314600278,9.803801082535067,235.87232193187293,cruising,9.654596314600278,9.803801082535067,0.4762777351461783,319.96643243283995,0.15466602519679484,355.62644524467424,0.5702884793281555,4.583038330078125,192.10174775674994,2.146370580406325,3.5,5.646370580406325,910.9068696,10.08,0.0,4.43362941959,0.776285395699409,0.0,0,0,0.0,0.0,0,0,0.0,5.04,1,0,910.9068696,5.04,1,0,910.9068696
case3_ga_integrated,4,2.0,2025-03-25T08:00:00+00:00,34.700000000000735,128.66000000000392,23.50125030242533,23.50125030242533,23.580429952087638,251.82238087976384,cruising,23.50125030242533,23.580429952087638,0.35048217252952946,316.7694797575925,0.09640140497440361,6.817463545044973,0.5702884793281555,4.583038330078125,192.10174775674994,23.28,3.5,26.78,1964.9905985250002,21.78,5.0,0.0,0.5185534369364091,0.0,0,0,0.0,9.18,1,1,1654.03837755,6.12,1,0,1102.6922517,6.480000000000001,1,0,1173.2505678000002
case3_ga_integrated,5,2.5,2025-03-25T08:30:00+00:00,34.638736343384515,128.43399673462295,18.74150310736872,18.74150310736872,18.666926316179072,251.37648850921067,cruising,18.74150310736872,18.666926316179072,0.35969599888503717,35.64552120425435,0.06349239297119005,304.2012521229535,0.5702884793281555,4.583038330078125,192.10174775674994,14.356160166428774,3.5,17.856160166428772,1613.2797811091773,17.8561601664,0.0,0.0,0.5185534369364091,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,5.256160166399998,1,0,949.2923882183549
case3_ga_integrated,6,3.0,2025-03-25T09:00:00+00:00,34.58876266479564,128.25434051514043,17.100905189721963,17.100905189721963,17.047867362238303,246.9527787011494,cruising,17.100905189721963,17.047867362238303,0.7386787036629077,65.43840709522476,0.10202973196396435,321.4418621220452,0.5702884793281555,4.583038330078125,192.10174775674994,10.666763272267964,3.5,14.166763272267964,1594.0870218,17.64,0.0,3.4732367277,0.6835321815021591,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,5.04,1,0,910.9068696
case3_ga_integrated,7,3.5,2025-03-25T09:30:00+00:00,34.532906813622226,128.09526732445127,16.903095307036395,16.903095307036395,16.960467943618706,241.12558478710872,cruising,16.903095307036395,16.960467943618706,1.238761889342607,82.41943383662186,0.1271329778479958,344.54977317780117,0.5173099637031555,4.568634033203125,184.09393877560407,10.500320496425788,3.5,14.000320496425788,1284.6378716708189,14.0003204964,0.0,0.0,0.6835321815021591,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,1.8,1,0,359.9708625,4.6403204964,1,0,842.9445764416378
case3_ga_integrated,8,4.0,2025-03-25T10:00:00+00:00,34.46484187483858,127.94576047659277,17.005949053887285,17.005949053887285,17.066806527667353,238.13929772916168,cruising,17.005949053887285,17.066806527667353,1.5907466049724799,89.454213431933,0.06017016377716139,359.49304186922274,0.5173099637031555,4.568634033203125,184.09393877560407,10.719271694959511,3.5,14.219271694959511,1594.0870218,17.64,0.0,3.420728305000001,0.8460167759896592,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,5.04,1,0,910.9068696
case3_ga_integrated,9,4.5,2025-03-25T10:30:00+00:00,34.3900000000007,127.80000000000348,18.67778028167009,18.67778028167009,18.515913485795814,266.0855255430689,cruising,18.67778028167009,18.515913485795814,1.797036987116148,92.4953163050586,0.09805116065334805,297.9537278694447,0.5173099637031555,4.568634033203125,184.09393877560407,13.963722858006506,3.5,17.463722858006506,1579.099764893136,17.463722858,0.0,0.0,0.8460167759896592,0.0,0,0,0.0,7.5600000000000005,1,0,1366.3603044,5.04,1,0,910.9068696,4.863722858,1,0,880.9323557862717
