profile,t,delta_mw,compensation_mw_on_other_steps,base_P_req_t_MW,mutated_P_req_t_MW,base_energy_mwh,mutated_energy_mwh,energy_error_mwh,feasible,base_fuel_kg,mutated_fuel_kg,delta_fuel_kg,abs_delta_fuel_kg,dg_count_changes,commitment_pattern_changes,base_count_at_t,mutated_count_at_t,base_commitment_at_t,mutated_commitment_at_t
case2_seed_profile,0,0.25,0.005319148936170213,14.385555211027285,14.635555211027285,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69921.17518618869,1.4504993489244953,1.4504993489244953,0,48,2,2,DG2+DG4,DG1+DG4
case2_seed_profile,0,-0.25,-0.005319148936170213,14.385555211027285,14.135555211027285,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.99874873011,0.2740618903480936,0.2740618903480936,0,48,2,2,DG2+DG4,DG1+DG4
case2_seed_profile,1,0.25,0.005319148936170213,15.656799845366816,15.906799845366816,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.45062499451,-0.2740618452517083,0.2740618452517083,0,48,2,2,DG2+DG4,DG1+DG4
case2_seed_profile,1,-0.25,-0.005319148936170213,15.656799845366816,15.406799845366816,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.99874873899,0.2740618992247619,0.2740618992247619,0,48,2,2,DG2+DG4,DG1+DG4
case2_seed_profile,2,0.25,0.005319148936170213,15.392728357136589,15.642728357136589,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.45062498562,-0.2740618541429285,0.2740618541429285,0,48,2,2,DG2+DG4,DG1+DG3
case2_seed_profile,2,-0.25,-0.005319148936170213,15.392728357136589,15.142728357136589,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69923.58899172238,3.864304882619763,3.864304882619763,0,33,2,2,DG2+DG4,DG2+DG3
case2_seed_profile,3,0.25,0.005319148936170213,15.483998541283519,15.733998541283519,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.45062499451,-0.2740618452517083,0.2740618452517083,0,48,2,2,DG2+DG4,DG1+DG3
case2_seed_profile,3,-0.25,-0.005319148936170213,15.483998541283519,15.233998541283519,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.99874873899,0.2740618992247619,0.2740618992247619,0,0,2,2,DG2+DG4,DG2+DG4
case2_seed_profile,4,0.25,0.005319148936170213,15.373388561765752,15.623388561765752,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.45062499451,-0.2740618452517083,0.2740618452517083,0,0,2,2,DG2+DG4,DG2+DG4
case2_seed_profile,4,-0.25,-0.005319148936170213,15.373388561765752,15.123388561765752,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.99874873899,0.2740618992247619,0.2740618992247619,0,46,2,2,DG2+DG4,DG2+DG3
case2_seed_profile,5,0.25,0.005319148936170213,14.973065016111047,15.223065016111047,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.45062498563,-0.2740618541283766,0.2740618541283766,0,0,2,2,DG2+DG4,DG2+DG4
case2_seed_profile,5,-0.25,-0.005319148936170213,14.973065016111047,14.723065016111047,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.998748739,0.2740618992393138,0.2740618992393138,0,46,2,2,DG2+DG4,DG2+DG3
case2_seed_profile,6,0.25,0.005319148936170213,15.537082871121804,15.787082871121804,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.45062498563,-0.2740618541283766,0.2740618541283766,0,46,2,2,DG2+DG4,DG2+DG3
case2_seed_profile,6,-0.25,-0.005319148936170213,15.537082871121804,15.287082871121804,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.99874873011,0.2740618903480936,0.2740618903480936,0,0,2,2,DG2+DG4,DG2+DG4
case2_seed_profile,7,0.25,0.005319148936170213,15.61486475664228,15.86486475664228,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.45062498563,-0.2740618541283766,0.2740618541283766,0,33,2,2,DG2+DG4,DG2+DG3
case2_seed_profile,7,-0.25,-0.005319148936170213,15.61486475664228,15.36486475664228,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.99874873011,0.2740618903480936,0.2740618903480936,0,33,2,2,DG2+DG4,DG2+DG3
case2_seed_profile,8,0.25,0.005319148936170213,16.123895942571764,16.373895942571764,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.63786809712,-0.08681874263857026,0.08681874263857026,0,48,2,2,DG2+DG4,DG1+DG3
case2_seed_profile,8,-0.25,-0.005319148936170213,16.123895942571764,15.873895942571764,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.99874873899,0.2740618992247619,0.2740618992247619,0,33,2,2,DG2+DG4,DG2+DG3
case2_seed_profile,9,0.25,0.005319148936170213,15.511859718764901,15.761859718764901,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.45062499451,-0.2740618452517083,0.2740618452517083,0,33,2,2,DG2+DG4,DG2+DG3
case2_seed_profile,9,-0.25,-0.005319148936170213,15.511859718764901,15.261859718764901,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69923.58899173126,3.864304891496431,3.864304891496431,0,48,2,2,DG2+DG4,DG1+DG3
case2_seed_profile,10,0.25,0.005319148936170213,16.269238267441686,16.519238267441686,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69920.15744586292,0.43275902315508574,0.43275902315508574,0,13,2,2,DG2+DG4,DG2+DG4
case2_seed_profile,10,-0.25,-0.005319148936170213,16.269238267441686,16.019238267441686,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.99874873011,0.2740618903480936,0.2740618903480936,0,46,2,2,DG2+DG4,DG2+DG3
case2_seed_profile,11,0.25,0.005319148936170213,16.298130707708026,16.548130707708026,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69920.37598050585,0.6512936660874402,0.6512936660874402,0,48,2,2,DG2+DG4,DG1+DG4
case2_seed_profile,11,-0.25,-0.005319148936170213,16.298130707708026,16.048130707708026,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.99874873899,0.2740618992247619,0.2740618992247619,0,48,2,2,DG2+DG4,DG1+DG3
case2_seed_profile,12,0.25,0.005319148936170213,16.744481190820636,16.994481190820636,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69933.99709234593,14.27240550616989,14.27240550616989,2,48,2,2,DG2+DG4,DG1+DG2
case2_seed_profile,12,-0.25,-0.005319148936170213,16.744481190820636,16.494481190820636,385.433050236777,385.433050236777,0.0,True,69919.72468683976,69919.11172927542,-0.6129575643426506,0.6129575643426506,0,48,2,2,DG2+DG4,DG1+DG4
