case_name,route_valid,route_violation,objective,objective_kind,milp_fuel_kg,milp_feasible,total_distance_nm,p_req_mean_mw,p_req_std_mw,p_req_min_mw,p_req_max_mw,last_speed_kts,final_heading_delta_deg,note
case1_astar_fixed,True,0.0,18349.223572930387,milp_fuel_kg,18349.223572930387,True,165.70597488864746,10.515663964522766,2.0632793084644083,3.7968651560903224,11.832023894182353,10.777733003738435,0.03592894222282439,astar_res=0.01
case2_ga_twostage,True,0.0,106.93025811049365,energy_objective,17073.821084270727,True,160.365156809561,9.720932555499424,7.214762479478299,4.938978644504631,32.42,13.834141183818604,2.0915500209478353,ga_res=0.01
case3_ga_integrated,True,0.0,15794.110665074657,ga_objective,15794.110665074657,True,161.12389268326032,9.134169319816289,1.0325413578813736,5.051778534864564,10.295773003430265,14.834500451189944,-4.352472777270151,ga_res=0.01
