t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
25,0.5,16.361485716853412,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.181485716899999,1,0,773.905953689681,5.0,10.08,5.438514283100002
26,0.5,16.3187704079927,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.138770407999999,1,0,766.6425580948018,5.0,10.08,5.481229592000002
27,0.5,15.590313993024605,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.4103139930000004,1,0,642.7743887656411,5.0,10.08,6.209686007
28,0.5,14.99087864568339,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,2.8108786457000003,1,0,540.8452169273498,5.0,10.08,6.809121354300002
29,0.5,15.413260995600151,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.2332609956,1,0,612.6679469654428,5.0,10.08,6.386739004400001
30,0.5,16.77825979831656,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.598259798299999,1,0,844.7750426616831,5.0,10.08,5.021740201700002
31,0.5,16.35779878638383,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.1777987864,1,0,773.279020736556,5.0,10.08,5.442201213600001
32,0.5,16.86492272610779,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.684922726100002,1,0,859.5113782807351,5.0,10.08,4.935077273899999
33,0.5,16.95862266212037,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.778622662100002,1,0,875.4443006897986,5.0,10.08,4.841377337899999
34,0.5,17.06481459080058,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.884814590800001,1,0,893.5013862404855,5.0,10.08,4.7351854092
