single_P_req_MW,feasible,status,total_fuel_kg,total_operating_fuel_kg,total_start_fuel_kg,objective_value,DG_count,commitment,N1_min_margin_MW,DG1_ON,DG1_P_MW,DG2_ON,DG2_P_MW,DG3_ON,DG3_P_MW,DG4_ON,DG4_P_MW
13.25,True,Optimal,2630.042158075,2390.042158075,240.0,2630.042158075,2,DG3+DG4,-8.881784197001252e-16,0,0.0,0,0.0,1,7.14,1,6.11
13.5,True,Optimal,2797.2526052499998,2457.2526052499998,340.0,2797.2526052499998,2,DG1+DG2,2.1500000000000004,1,7.5600000000000005,1,5.9399999999999995,0,0.0,0,0.0
13.75,True,Optimal,2839.763099625,2499.763099625,340.0,2839.763099625,2,DG1+DG2,1.9000000000000004,1,6.1899999999999995,1,7.5600000000000005,0,0.0,0,0.0
14.0,True,Optimal,2882.2735939999993,2542.2735939999993,340.0,2882.2735939999993,2,DG1+DG2,1.6500000000000004,1,6.4399999999999995,1,7.5600000000000005,0,0.0,0,0.0
14.25,True,Optimal,2924.7840883749996,2584.7840883749996,340.0,2924.7840883749996,2,DG1+DG2,1.4000000000000004,1,6.6899999999999995,1,7.5600000000000005,0,0.0,0,0.0
14.5,True,Optimal,2967.29458275,2627.29458275,340.0,2967.29458275,2,DG1+DG2,1.1500000000000004,1,6.9399999999999995,1,7.5600000000000005,0,0.0,0,0.0
14.75,True,Optimal,3009.805077125,2669.805077125,340.0,3009.805077125,2,DG1+DG2,0.9000000000000004,1,7.1899999999999995,1,7.5600000000000005,0,0.0,0,0.0
15.0,True,Optimal,3052.3155715,2712.3155715,340.0,3052.3155715,2,DG1+DG2,0.6500000000000004,1,7.4399999999999995,1,7.5600000000000005,0,0.0,0,0.0
15.25,True,Optimal,3095.8058862749995,2755.8058862749995,340.0,3095.8058862749995,2,DG1+DG2,0.39999999999999947,1,7.5600000000000005,1,7.6899999999999995,0,0.0,0,0.0
15.5,True,Optimal,3140.2006506499993,2800.2006506499993,340.0,3140.2006506499993,2,DG1+DG2,0.14999999999999947,1,7.5600000000000005,1,7.9399999999999995,0,0.0,0,0.0
15.75,True,Optimal,3294.7598071249995,2884.7598071249995,410.0,3294.7598071249995,3,DG2+DG3+DG4,5.899999999999999,0,0.0,1,7.560000000000002,1,5.879999999999999,1,2.3099999999999987
16.0,True,Optimal,3337.2703014999997,2927.2703014999997,410.0,3337.2703014999997,3,DG2+DG3+DG4,5.649999999999999,0,0.0,1,7.560000000000002,1,5.879999999999999,1,2.5599999999999987
16.25,True,Optimal,3379.780795875,2969.780795875,410.0,3379.780795875,3,DG1+DG3+DG4,5.4,1,7.5600000000000005,0,0.0,1,5.88,1,2.8099999999999996
16.5,True,Optimal,3422.2912902499997,3012.2912902499997,410.0,3422.2912902499997,3,DG2+DG3+DG4,5.149999999999999,0,0.0,1,7.560000000000002,1,5.879999999999999,1,3.0599999999999987
16.75,True,Optimal,3464.801784625,3054.801784625,410.0,3464.801784625,3,DG1+DG3+DG4,4.9,1,7.5600000000000005,0,0.0,1,5.88,1,3.3099999999999996
17.0,True,Optimal,3507.3122789999998,3097.3122789999998,410.0,3507.3122789999998,3,DG2+DG3+DG4,4.649999999999999,0,0.0,1,7.560000000000002,1,5.879999999999999,1,3.5599999999999987
17.25,True,Optimal,3549.822773375,3139.822773375,410.0,3549.822773375,3,DG2+DG3+DG4,4.4,0,0.0,1,7.5600000000000005,1,5.88,1,3.8099999999999996
