idx,route_P_req_MW,t_star,feasible,status,total_fuel_kg,total_operating_fuel_kg,total_start_fuel_kg,objective_value,DG_count,commitment,N1_min_margin_MW,DG1_ON,DG1_P_MW,DG2_ON,DG2_P_MW,DG3_ON,DG3_P_MW,DG4_ON,DG4_P_MW
19,14.69456748362134,34,True,Optimal,69702.62698830198,69292.62698830198,410.0,69702.62698830201,2,DG2+DG3,2.2054325163999984,0,0.0,1,8.814567483600001,1,5.88,0,0.0
20,14.71083128744208,34,True,Optimal,69704.24045592458,69294.24045592458,410.0,69704.24045592459,2,DG1+DG3,2.189168712600001,1,8.830831287399999,0,0.0,1,5.88,0,0.0
21,14.72709509126282,34,True,Optimal,69705.51509926104,69295.51509926104,410.0,69705.51509926107,2,DG1+DG4,2.172904908699998,1,8.847095091300002,0,0.0,0,0.0,1,5.88
22,14.74335889508356,34,True,Optimal,69706.95915473612,69296.95915473612,410.0,69706.95915473615,2,DG1+DG3,2.1566411049000003,1,8.8633588951,0,0.0,1,5.88,0,0.0
23,14.759622698904298,34,True,Optimal,69709.14679415504,69299.14679415504,410.0,69709.14679415505,2,DG1+DG3,2.140377301099999,1,8.8796226989,0,0.0,1,5.88,0,0.0
24,14.775886502725038,34,True,Optimal,69709.84726568629,69299.84726568629,410.0,69709.84726568632,2,DG1+DG3,2.124113497299998,1,8.895886502700002,0,0.0,1,5.88,0,0.0
25,14.792150306545778,34,True,Optimal,69711.29132116138,69301.29132116138,410.0,69711.2913211614,2,DG1+DG3,2.1078496935000004,1,8.9121503065,0,0.0,1,5.88,0,0.0
26,14.808414110366519,34,True,Optimal,69712.73537664533,69302.73537664533,410.0,69712.73537664536,2,DG1+DG3,2.091585889600001,1,8.928414110399999,0,0.0,1,5.88,0,0.0
27,14.824677914187259,34,True,Optimal,69714.34884426792,69304.34884426792,410.0,69714.34884426795,2,DG1+DG3,2.0753220858,1,8.9446779142,0,0.0,1,5.88,0,0.0
28,14.840941718007999,34,True,Optimal,69715.6234875955,69305.6234875955,410.0,69715.62348759554,2,DG1+DG3,2.0590582819999987,1,8.960941718,0,0.0,1,5.88,0,0.0
29,14.857205521828737,34,True,Optimal,69717.23695521809,69307.23695521809,410.0,69717.23695521812,2,DG1+DG3,2.042794478200001,1,8.977205521799998,0,0.0,1,5.88,0,0.0
30,14.873469325649477,34,True,Optimal,69718.51159854567,69308.51159854567,410.0,69718.51159854571,2,DG1+DG3,2.0265306744,1,8.9934693256,0,0.0,1,5.88,0,0.0
31,14.889733129470217,34,True,Optimal,69719.95565402963,69309.95565402963,410.0,69719.95565402966,2,DG1+DG3,2.0102668705000006,1,9.009733129499999,0,0.0,1,5.88,0,0.0
32,14.905996933290957,34,True,Optimal,69721.6684975735,69311.6684975735,410.0,69721.66849757351,2,DG1+DG3,1.9940030666999995,1,9.0259969333,0,0.0,1,5.88,0,0.0
33,14.922260737111698,34,True,Optimal,69722.8437649798,69312.8437649798,410.0,69722.84376497984,2,DG1+DG3,1.9777392628999984,1,9.042260737100001,0,0.0,1,5.88,0,0.0
34,14.938524540932436,34,True,Optimal,69724.45723260239,69314.45723260239,410.0,69724.45723260242,2,DG1+DG3,1.9614754591000008,1,9.058524540899999,0,0.0,1,5.88,0,0.0
35,14.954788344753176,34,True,Optimal,69725.73187593884,69315.73187593884,410.0,69725.73187593889,2,DG1+DG3,1.9452116551999978,1,9.074788344800002,0,0.0,1,5.88,0,0.0
36,14.971052148573916,34,True,Optimal,69727.17593141393,69317.17593141393,410.0,69727.17593141396,2,DG1+DG3,1.9289478514000002,1,9.0910521486,0,0.0,1,5.88,0,0.0
37,14.987315952394656,34,True,Optimal,69729.36357083285,69319.36357083285,410.0,69729.36357083287,2,DG2+DG3,1.912684047599999,0,0.0,1,9.1073159524,1,5.88,0,0.0
38,15.003579756215396,34,True,Optimal,69730.0640423641,69320.0640423641,410.0,69730.06404236415,2,DG2+DG4,1.896420243799998,0,0.0,1,9.123579756200002,0,0.0,1,5.88
39,15.019843560036135,34,True,Optimal,69731.50809783919,69321.50809783919,410.0,69731.50809783922,2,DG1+DG3,1.8801564400000004,1,9.13984356,0,0.0,1,5.88,0,0.0
40,15.036107363856875,34,True,Optimal,69732.95215332315,69322.95215332315,410.0,69732.95215332317,2,DG2+DG3,1.863892636100001,0,0.0,1,9.156107363899999,1,5.88,0,0.0
41,15.052371167677615,34,True,Optimal,69734.39620879824,69324.39620879824,410.0,69734.39620879827,2,DG1+DG3,1.8476288322999999,1,9.1723711677,0,0.0,1,5.88,0,0.0
42,15.068634971498355,34,True,Optimal,69735.84026427333,69325.84026427333,410.0,69735.84026427336,2,DG1+DG3,1.8313650285000005,1,9.18,0,0.0,1,5.8886349715,0,0.0
43,15.084898775319095,34,True,Optimal,69737.2843197484,69327.2843197484,410.0,69737.28431974845,2,DG2+DG3,1.8151012247000011,0,0.0,1,9.18,1,5.9048987752999995,0,0.0
44,15.101162579139833,34,True,Optimal,69738.7283752235,69328.7283752235,410.0,69738.72837522355,2,DG2+DG4,1.7988374209,0,0.0,1,9.18,0,0.0,1,5.921162579100001
45,15.117426382960574,34,True,Optimal,69740.17243070745,69330.17243070745,410.0,69740.17243070749,2,DG2+DG3,1.7825736170000006,0,0.0,1,9.18,1,5.937426383,0,0.0
46,15.133690186781314,34,True,Optimal,69741.61648618254,69331.61648618254,410.0,69741.61648618258,2,DG2+DG4,1.7663098132000012,0,0.0,1,9.18,0,0.0,1,5.953690186799999
47,15.149953990602054,34,True,Optimal,69743.06054165761,69333.06054165761,410.0,69743.06054165767,2,DG2+DG4,1.7500460094,0,0.0,1,9.18,0,0.0,1,5.9699539906000005
48,15.166217794422794,34,True,Optimal,69744.50459713272,69334.50459713272,410.0,69744.50459713276,2,DG2+DG4,1.7337822056000007,0,0.0,1,9.18,0,0.0,1,5.9862177944
49,15.182481598243532,34,True,Optimal,69745.9486526078,69335.9486526078,410.0,69745.94865260784,2,DG2+DG4,1.7175184017999996,0,0.0,1,9.18,0,0.0,1,6.002481598200001
50,15.198745402064272,34,True,Optimal,69747.39270809175,69337.39270809175,410.0,69747.39270809181,2,DG1+DG4,1.7012545979000002,1,9.18,0,0.0,0,0.0,1,6.0187454021
51,15.215009205885012,34,True,Optimal,69748.83676356683,69338.83676356683,410.0,69748.83676356687,2,DG2+DG4,1.6849907941000009,0,0.0,1,9.18,0,0.0,1,6.0350092059
52,15.231273009705752,34,True,Optimal,69750.28081904192,69340.28081904192,410.0,69750.28081904197,2,DG2+DG4,1.6687269902999997,0,0.0,1,9.18,0,0.0,1,6.051273009700001
53,15.247536813526493,34,True,Optimal,69752.46845846085,69342.46845846085,410.0,69752.46845846086,2,DG2+DG3,1.6524631865000003,0,0.0,1,9.18,1,6.0675368135,0,0.0
54,15.263800617347231,34,True,Optimal,69753.16892999208,69343.16892999208,410.0,69753.16892999214,2,DG2+DG4,1.636199382700001,0,0.0,1,9.18,0,0.0,1,6.0838006173
55,15.280064421167971,34,True,Optimal,69754.61298547605,69344.61298547605,410.0,69754.61298547611,2,DG2+DG4,1.6199355787999998,0,0.0,1,9.18,0,0.0,1,6.100064421200001
56,15.296328224988711,34,True,Optimal,69756.05704095113,69346.05704095113,410.0,69756.05704095119,2,DG2+DG4,1.6036717750000005,0,0.0,1,9.18,0,0.0,1,6.116328225
57,15.312592028809451,34,True,Optimal,69757.50109642622,69347.50109642622,410.0,69757.50109642628,2,DG2+DG4,1.587407971200001,0,0.0,1,9.18,0,0.0,1,6.1325920287999995
58,15.328855832630191,34,True,Optimal,69758.94515190131,69348.94515190131,410.0,69758.94515190135,2,DG2+DG4,1.5711441674,0,0.0,1,9.18,0,0.0,1,6.148855832600001
59,15.345119636450931,34,True,Optimal,69760.38920738528,69350.38920738528,410.0,69760.38920738533,2,DG2+DG4,1.5548803635000006,0,0.0,1,9.18,0,0.0,1,6.1651196365
60,15.36138344027167,34,True,Optimal,69761.83326286035,69351.83326286035,410.0,69761.83326286041,2,DG2+DG4,1.5386165597000012,0,0.0,1,9.18,0,0.0,1,6.181383440299999
61,15.37764724409241,34,True,Optimal,69763.27731833544,69353.27731833544,410.0,69763.27731833549,2,DG2+DG4,1.5223527559,0,0.0,1,9.18,0,0.0,1,6.197647244100001
62,15.39391104791315,34,True,Optimal,69764.72137381053,69354.72137381053,410.0,69764.72137381056,2,DG2+DG4,1.5060889521000007,0,0.0,1,9.18,0,0.0,1,6.2139110479
63,15.41017485173389,34,True,Optimal,69766.70492655192,69356.70492655192,410.0,69766.70492655193,2,DG2+DG3,1.4898251482999996,0,0.0,1,9.18,1,6.230174851700001,0,0.0
64,15.42643865555463,34,True,Optimal,69767.60948476958,69357.60948476958,410.0,69767.60948476961,2,DG2+DG3,1.4735613444000002,0,0.0,1,9.18,1,6.2464386556000004,0,0.0
65,15.442702459375369,34,True,Optimal,69769.05354024465,69359.05354024465,410.0,69769.0535402447,2,DG2+DG3,1.4572975406000008,0,0.0,1,9.18,1,6.2627024594,0,0.0
66,15.458966263196109,34,True,Optimal,69770.49759571975,69360.49759571975,410.0,69770.49759571977,2,DG2+DG3,1.4410337367999997,0,0.0,1,9.18,1,6.278966263200001,0,0.0
67,15.475230067016849,34,True,Optimal,69771.94165119482,69361.94165119482,410.0,69771.94165119487,2,DG1+DG3,1.4247699330000003,1,9.18,0,0.0,1,6.295230067,0,0.0
68,15.491493870837589,34,True,Optimal,69773.38570666991,69363.38570666991,410.0,69773.38570666996,2,DG1+DG3,1.408506129200001,1,9.18,0,0.0,1,6.3114938708,0,0.0
69,15.507757674658329,34,True,Optimal,69774.82976215388,69364.82976215388,410.0,69774.82976215394,2,DG2+DG4,1.3922423252999998,0,0.0,1,9.18,0,0.0,1,6.327757674700001
70,15.524021478479067,34,True,Optimal,69776.27381762896,69366.27381762896,410.0,69776.27381762899,2,DG1+DG3,1.3759785215000004,1,9.18,0,0.0,1,6.3440214785,0,0.0
71,15.540285282299807,34,True,Optimal,69777.71787310403,69367.71787310403,410.0,69777.71787310408,2,DG2+DG3,1.359714717700001,0,0.0,1,9.18,1,6.3602852823,0,0.0
72,15.556549086120548,34,True,Optimal,69779.16192857912,69369.16192857912,410.0,69779.16192857918,2,DG2+DG4,1.3434509139,0,0.0,1,9.18,0,0.0,1,6.376549086100001
73,15.572812889941288,34,True,Optimal,69780.7753962017,69370.7753962017,410.0,69780.77539620176,2,DG1+DG4,1.3271871101000006,1,9.18,0,0.0,0,0.0,1,6.3928128899
74,15.589076693762028,34,True,Optimal,69782.05003953818,69372.05003953818,410.0,69782.05003953823,2,DG1+DG4,1.3109233062000012,1,9.18,0,0.0,0,0.0,1,6.4090766937999994
75,15.605340497582766,34,True,Optimal,69783.49409501326,69373.49409501326,410.0,69783.4940950133,2,DG2+DG4,1.2946595024,0,0.0,1,9.18,0,0.0,1,6.425340497600001
76,15.621604301403506,34,True,Optimal,69784.93815048835,69374.93815048835,410.0,69784.9381504884,2,DG1+DG3,1.2783956986000007,1,9.18,0,0.0,1,6.4416043014,0,0.0
