P_star_MW,from_count,to_count,from_commitment,to_commitment,fuel_before_kg,fuel_after_kg,fuel_jump_kg,operating_jump_kg,start_jump_kg,n1_margin_before_mw,n1_margin_after_mw
15.625,2,3,DG1+DG2,DG2+DG3+DG4,3140.2006506499993,3294.7598071249995,154.55915647500024,84.55915647500024,70.0,0.14999999999999947,5.899999999999999
24.125,3,4,DG1+DG2+DG4,DG1+DG2+DG3+DG4,4788.1824625,4990.959570375,202.77710787500018,82.77710787500018,120.0,0.04999999999999982,8.2
