t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
0,0.5,16.966862086163946,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,1,1801.6537392,2.1,1,1,419.96600625,4.786862086199999,1,1,876.8453486572233,3.88,10.08,3.7131379138000025
1,0.5,17.870728718222395,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,5.690728718199999,1,0,1030.5406181587682,3.88,10.08,2.8092712818000027
2,0.5,17.820105364666027,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,5.640105364700002,1,0,1021.9325230219472,3.88,10.08,2.8598946353
3,0.5,17.163127131785487,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.9831271318,1,0,910.2186451251752,3.88,10.08,3.516872868200002
4,0.5,15.89744228870205,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.7174422887000005,1,0,694.999091512674,3.88,10.08,4.782557711299999
5,0.5,15.562168788560022,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.382168788599999,1,0,637.9885225523233,3.88,10.08,5.1178312114
6,0.5,16.490412693349796,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.310412693300002,1,0,795.8289517098333,3.88,10.08,4.1895873067
7,0.5,17.432673737978114,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,5.252673737999999,1,0,956.0528830718367,3.88,10.08,3.247326262000003
8,0.5,17.333769638388386,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,5.1537696384,1,0,939.2350343929961,3.88,10.08,3.3462303616000018
9,0.5,18.037611491240973,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,5.8576114912,1,0,1058.9176948903719,3.88,10.08,2.6423885088000016
10,0.5,18.03128809981943,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,5.851288099800001,1,0,1057.8424529122096,3.88,10.08,2.6487119002000004
11,0.5,17.96801253803495,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,5.788012538,1,0,1047.0829512563141,3.88,10.08,2.7119874620000015
12,0.5,18.285378327637275,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,2.3253783276,1,0,458.2897827607468,3.88,10.08,2.3946216724000013
13,0.5,18.496938164522525,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,2.5369381645000013,1,0,494.2638357868004,3.88,10.08,2.1830618355
14,0.5,18.472091151555617,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,2.512091151600001,1,0,490.0388005783164,3.88,10.08,2.2079088484000007
15,0.5,18.72099414334474,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,2.7609941433000005,1,0,532.3627574926504,3.88,10.08,1.959005856700001
16,0.5,18.262031912144785,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,2.3020319120999995,1,0,454.31991210159003,3.88,10.08,2.417968087900002
17,0.5,18.505899960931984,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,2.545899960899999,1,0,495.78771736860847,3.88,10.08,2.1741000391000025
18,0.5,18.657046573944136,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,2.6970465739000007,1,0,521.488986335556,3.88,10.08,2.022953426100001
19,0.5,18.53283932270481,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,2.5728393226999993,1,0,500.3685397216685,3.88,10.08,2.1471606773000023
20,0.5,18.73894870402452,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,2.7789487039999985,1,0,535.4157864992219,3.88,10.08,1.941051296000003
21,0.5,19.12438810044536,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,3.164388100400001,1,0,600.9566636694847,3.88,10.08,1.5556118996000006
22,0.5,19.964896138061555,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,4.004896138099999,1,0,743.8783125046369,3.88,10.08,0.715103861900003
23,0.5,19.77987389101639,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,3.819873891000001,1,0,712.4167637262597,3.88,10.08,0.9001261090000003
24,0.5,19.919834562899243,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,3.9598345629000002,1,0,736.2159531483642,3.88,10.08,0.7601654371000013
25,0.5,19.894927387177926,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,3.9349273871999992,1,0,731.980687738396,3.88,10.08,0.7850726128000023
