t,dt_h,P_req_MW,speed_sog_kts
0,0.5,16.966862086163946,18.9
1,0.5,17.870728718222395,18.9
2,0.5,17.820105364666027,18.9
3,0.5,17.163127131785487,18.9
4,0.5,15.89744228870205,18.9
5,0.5,15.562168788560022,18.9
6,0.5,16.490412693349796,18.9
7,0.5,17.432673737978114,18.9
8,0.5,17.333769638388386,18.9
9,0.5,18.037611491240973,18.9
10,0.5,18.03128809981943,18.9
11,0.5,17.96801253803495,18.9
12,0.5,18.285378327637275,18.9
13,0.5,18.496938164522525,18.9
14,0.5,18.472091151555617,18.9
15,0.5,18.72099414334474,18.9
16,0.5,18.262031912144785,18.9
17,0.5,18.505899960931984,18.9
18,0.5,18.657046573944136,18.9
19,0.5,18.53283932270481,18.9
20,0.5,18.73894870402452,18.9
21,0.5,19.12438810044536,18.9
22,0.5,19.964896138061555,18.9
23,0.5,19.77987389101639,18.9
24,0.5,19.919834562899243,18.9
25,0.5,19.894927387177926,18.9
26,0.5,19.406186266154094,18.9
27,0.5,19.072660596736313,18.9
28,0.5,18.78710804672837,18.9
29,0.5,18.533855705296986,18.9
30,0.5,18.004674751160955,18.9
31,0.5,18.520147380196853,18.9
32,0.5,19.144904993033812,18.9
33,0.5,18.867147341801413,18.9
34,0.5,18.409032047171877,18.9
35,0.5,18.394074099452464,18.9
36,0.5,18.265097829430285,18.9
37,0.5,18.568516385903212,18.9
38,0.5,18.680564640568367,18.9
39,0.5,19.023543829595248,18.9
40,0.5,18.70496919978414,18.9
41,0.5,18.264638997756677,18.9
42,0.5,18.25492834103785,18.9
43,0.5,18.54556414695906,18.9
44,0.5,18.515690191130982,18.9
45,0.5,18.160736481492,18.9
46,0.5,18.092845018669944,18.9
47,0.5,16.870074094858616,18.9
