t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
0,0.5,16.366386790194678,0.0,0.0,0.5,7.5600000000000005,1,1,1366.3603044,8.8063867902,1,1,1587.692495884166,0.0,0,0,0.0,0.0,0,0,0.0,5.82,8.8063867902,0.253613209800001
1,0.5,18.430818863638436,0.07081886359999956,0.0,0.49634954311340046,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,5.749181136399969,9.18,-1.81081886360003
2,0.5,17.192334373073137,0.0,0.0,0.49634954311340046,8.0123343731,1,0,1446.6854160499513,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,5.749181136399969,9.18,-0.6431532367000301
3,0.5,16.33570056075603,0.0,0.0,0.49634954311340046,7.5600000000000005,1,0,1366.3603044,8.775700560799999,1,0,1582.2432641890855,0.0,0,0,0.0,0.0,0,0,0.0,5.749181136399969,8.775700560799999,0.21348057559997002
4,0.5,16.367212627718295,0.0,0.0,0.49634954311340046,7.5600000000000005,1,0,1366.3603044,8.807212627699998,1,0,1587.8391473290642,0.0,0,0,0.0,0.0,0,0,0.0,5.749181136399969,8.807212627699998,0.1819685086999705
5,0.5,17.3040136654391,0.0,0.0,0.49634954311340046,8.1240136654,1,0,1466.5173195188522,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,5.749181136399969,9.18,-0.75483252900003
6,0.5,16.57790761614038,0.0,0.0,0.49634954311340046,7.5600000000000005,1,0,1366.3603044,9.017907616099999,1,0,1625.2541647891096,0.0,0,0,0.0,0.0,0,0,0.0,5.749181136399969,9.017907616099999,-0.028726479700029728
7,0.5,16.975321647756708,0.0,0.0,0.49634954311340046,7.795321647800002,1,0,1408.1485008256711,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,5.749181136399969,9.18,-0.42614051140003184
8,0.5,19.153365897074735,0.7933658970999993,0.0,0.45545439377833097,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.95581523929962,9.18,-2.6041847607003783
9,0.5,18.131403498248307,0.0,0.0,0.45545439377833097,8.951403498200001,1,0,1613.4444262125592,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.95581523929962,9.18,-2.37558825890038
10,0.5,17.587864653894783,0.0,0.0,0.45545439377833097,9.18,1,0,1654.03837755,8.407864653899999,1,0,1516.9233105271255,0.0,0,0,0.0,0.0,0,0,0.0,4.95581523929962,9.18,-1.8320494146003776
11,0.5,18.965879635308212,0.6058796352999991,0.0,0.4242234847422348,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.349935603999355,9.18,-3.210064396000644
12,0.5,18.278974912619677,0.0,0.0,0.4242234847422348,9.0989749126,1,0,1639.6500188956527,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,4.349935603999355,9.18,-3.1290393086006434
13,0.5,18.810690233695098,0.4506902337000014,0.0,0.4009920293968637,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,3.899245370299155,9.18,-3.6607546297008433
14,0.5,18.373617942216775,0.013617942199999788,0.0,0.4002900736133582,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,3.885627428099149,9.18,-3.67437257190085
15,0.5,17.4688525604544,0.0,0.0,0.4002900736133582,8.2888525605,1,0,1495.7892551500518,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,3.885627428099149,9.18,-2.783225132400851
16,0.5,17.931673644960554,0.0,0.0,0.4002900736133582,8.751673645,1,0,1577.9765871266895,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,3.885627428099149,9.18,-3.246046216900851
